analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,model_id,region,climatezone,age
spatial_events,model,climate,signed,0.0146,0.088,0.16590909090909092,1,0.16590909090909092,0,analysis=spatial_events|dataset_id=1763|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0731,0.088,0.8306818181818182,1,0.8306818181818182,0,analysis=spatial_events|dataset_id=1763|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.137,0.096,1.4270833333333335,1,1.4270833333333335,0,analysis=spatial_events|dataset_id=1766|region=North America|climatezone=Arid,NA,NA,NA
spatial_events,model,human,signed,-0.0412,0.096,-0.42916666666666664,1,-0.42916666666666664,0,analysis=spatial_events|dataset_id=1766|region=North America|climatezone=Arid,NA,NA,NA
spatial_events,model,climate,signed,0.3867,0.482,0.8022821576763486,1,0.8022821576763486,0,analysis=spatial_events|dataset_id=17689|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.0955,0.482,0.19813278008298757,1,0.19813278008298757,0,analysis=spatial_events|dataset_id=17689|region=North America|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.0577,0.007,8.242857142857142,1,8.242857142857142,0,analysis=spatial_events|dataset_id=1771|region=Latin America|climatezone=Polar,NA,NA,NA
spatial_events,model,human,signed,-0.0508,0.007,-7.257142857142857,1,-7.257142857142857,0,analysis=spatial_events|dataset_id=1771|region=Latin America|climatezone=Polar,NA,NA,NA
spatial_events,model,climate,signed,0.3008,0.239,1.2585774058577406,1,1.2585774058577406,0,analysis=spatial_events|dataset_id=18104|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,human,signed,-0.0616,0.239,-0.2577405857740586,1,-0.2577405857740586,0,analysis=spatial_events|dataset_id=18104|region=Latin America|climatezone=Temperate_Dry_Summer,NA,NA,NA
spatial_events,model,climate,signed,0.2415,0.405,0.5962962962962962,1,0.5962962962962962,0,analysis=spatial_events|dataset_id=1843|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
spatial_events,model,human,signed,0.1635,0.405,0.4037037037037037,1,0.4037037037037037,0,analysis=spatial_events|dataset_id=1843|region=Asia|climatezone=Cold_Without_dry_season_Warm_Summer,NA,NA,NA
