analysis,region,climatezone,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
spatial_spd,Asia,Cold_Dry_Winter,35,23,23,7.931,0.3448260869565217,0.5942000000000001,0.025834782608695653,6.5608,0.28525217391304347,0.7739,0.033647826086956524,15.068999999999999,0.6551739130434783,8.091,0.3517826086956522,0.7636998099469126,0.03320433956290924,6.146814365346736,0.26725279849333633,1.1804858247063517,0.051325470639406595,14.909,0.6482173913043479
spatial_spd,Asia,Cold_Without_dry_season_Cold_Summer,34,9,9,3.8040000000000003,0.4226666666666667,0.010100000000000001,0.0011222222222222224,3.1586,0.3509555555555556,0.6343,0.07047777777777778,5.196,0.5773333333333334,3.8040000000000003,0.4226666666666667,0.2600924885091468,0.028899165389905203,2.988163733184081,0.332018192576009,0.5557437783067722,0.06174930870075247,5.196,0.5773333333333334
spatial_spd,Asia,Cold_Without_dry_season_Hot_Summer,2,1,1,0.216,0.216,0.0879,0.0879,0.086,0.086,0.0417,0.0417,0.784,0.784,0.216,0.216,0.0880630797773655,0.0880630797773655,0.08615955473098329,0.08615955473098329,0.0417773654916512,0.0417773654916512,0.784,0.784
spatial_spd,Asia,Cold_Without_dry_season_Very_Cold_Summer,3,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_spd,Asia,Cold_Without_dry_season_Warm_Summer,19,18,18,5.698,0.31655555555555553,0.14429999999999998,0.008016666666666667,4.8791,0.2710611111111111,0.6780999999999999,0.03767222222222222,12.302,0.6834444444444444,5.911,0.3283888888888889,0.4592199764258636,0.025512220912547977,4.482206132689767,0.24901145181609816,0.9695738908843696,0.05386521616024276,12.089,0.6716111111111112
spatial_spd,Asia,Polar,20,10,10,3.412,0.3412,0.3773,0.03773,2.628,0.2628,0.4081,0.04081,6.588,0.6588,3.412,0.3412,0.43834279724336533,0.04383427972433653,2.466074640008779,0.2466074640008779,0.5075825627478557,0.05075825627478557,6.588,0.6588
spatial_spd,Asia,Temperate_Dry_Summer,5,5,5,1.853,0.3706,-0.1548,-0.03096,1.7214,0.34428000000000003,0.2862,0.05724,3.1470000000000002,0.6294,1.853,0.3706,0,0,1.5811802735761435,0.3162360547152287,0.27181972642385643,0.05436394528477129,3.1470000000000002,0.6294
spatial_spd,Asia,Temperate_Dry_Winter,9,6,6,2.213,0.36883333333333335,0.8547,0.14245,0.8379,0.13965,0.5201,0.08668333333333333,3.787,0.6311666666666667,2.213,0.36883333333333335,0.8405208106036924,0.14008680176728208,0.8321248673718918,0.1386874778953153,0.5403543220244157,0.09005905367073594,3.787,0.6311666666666667
spatial_spd,Asia,Temperate_Without_dry_season,9,7,7,3.2600000000000002,0.46571428571428575,0.2177,0.0311,2.8884000000000003,0.41262857142857146,0.1538,0.021971428571428572,3.74,0.5342857142857143,3.2600000000000002,0.46571428571428575,0.28443700889193324,0.040633858413133314,2.735012924667816,0.39071613209540224,0.24055006644025104,0.03436429520575015,3.74,0.5342857142857143
spatial_spd,Asia,Tropical,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
spatial_spd,Europe,Arid,7,7,7,2.367,0.33814285714285713,-0.031100000000000003,-0.004442857142857143,2.5068,0.3581142857142857,-0.1089,-0.015557142857142856,4.633,0.6618571428571428,2.367,0.33814285714285713,0.08270669028092818,0.011815241468704026,2.2378885360540566,0.3196983622934366,0.04640477366501525,0.0066292533807164634,4.633,0.6618571428571428
spatial_spd,Europe,Cold_Dry_Summer,4,4,4,1.5350000000000001,0.38375000000000004,0.2821,0.070525,1.189,0.29725,0.0639,0.015975,2.465,0.61625,1.552,0.388,0.2175005236425618,0.05437513091064045,1.1373377195283005,0.28433442988207513,0.19716175682913764,0.04929043920728441,2.448,0.612
spatial_spd,Europe,Cold_Without_dry_season_Cold_Summer,95,94,94,31.953,0.3399255319148936,3.5522,0.03778936170212766,24.3455,0.2589946808510638,4.0525,0.04311170212765957,62.047,0.6600744680851064,32.201,0.34256382978723404,4.628168608730041,0.04923583626308554,22.467666494724135,0.23901772866727802,5.105164896545824,0.05431026485687047,61.799,0.6574361702127659
spatial_spd,Europe,Cold_Without_dry_season_Warm_Summer,153,153,153,45.614,0.29813071895424836,6.9321,0.0453078431372549,36.5403,0.23882549019607843,2.1457,0.014024183006535948,107.386,0.7018692810457516,46.689,0.305156862745098,7.083988679558797,0.04630057960495946,33.9479895923216,0.2218822849171346,5.657021728119608,0.03697399822300397,106.311,0.694843137254902
spatial_spd,Europe,Polar,30,30,30,10.23,0.34099999999999997,1.4609,0.048696666666666666,8.2768,0.2758933333333333,0.4906,0.016353333333333334,19.77,0.659,10.23,0.34099999999999997,1.287466516448667,0.0429155505482889,7.667028409578782,0.2555676136526261,1.2755050739725509,0.04251683579908503,19.77,0.659
spatial_spd,Europe,Temperate_Dry_Summer,14,14,14,4.423,0.31592857142857145,0.8726,0.06232857142857143,3.8257,0.27326428571428574,-0.2766,-0.01975714285714286,9.577,0.6840714285714286,4.423,0.31592857142857145,0.6484187130322192,0.04631562235944423,3.5062809722610138,0.2504486408757867,0.26830031470676674,0.019164308193340484,9.577,0.6840714285714286
spatial_spd,Europe,Temperate_Without_dry_season,93,93,93,34.503,0.371,9.6459,0.10371935483870967,21.2456,0.228447311827957,3.6076,0.03879139784946237,58.497,0.629,34.824,0.3744516129032258,8.709150564463807,0.09364678026305169,19.879403915781364,0.21375703135248778,6.235445519754829,0.06704780128768634,58.176,0.6255483870967742
spatial_spd,Latin America,Arid,6,5,5,1.441,0.2882,0.1252,0.02504,0.8043,0.16086,0.5118,0.10236,3.559,0.7118,1.441,0.2882,0.23836377255082164,0.047672754510164325,0.7322359030442909,0.14644718060885817,0.47040032440488744,0.09408006488097749,3.559,0.7118
spatial_spd,Latin America,Cold_Dry_Summer,2,2,2,0.675,0.3375,0.058300000000000005,0.029150000000000002,0.6646000000000001,0.33230000000000004,-0.0487,-0.02435,1.3250000000000002,0.6625000000000001,0.675,0.3375,0.051762727272727266,0.025881363636363633,0.6065372727272726,0.3032686363636363,0.0167,0.00835,1.3250000000000002,0.6625000000000001
spatial_spd,Latin America,Polar,26,24,24,9.023,0.37595833333333334,0.9801,0.0408375,6.8012,0.2833833333333333,1.2430999999999999,0.05179583333333333,14.977,0.6240416666666667,9.197,0.3832083333333333,1.2676537660919331,0.05281890692049721,6.48956933535966,0.2703987223066525,1.4397768985484067,0.059990704106183616,14.803,0.6167916666666666
spatial_spd,Latin America,Temperate_Dry_Summer,9,9,9,2.176,0.24177777777777779,-0.10569999999999999,-0.011744444444444445,2.1994,0.24437777777777778,0.0818,0.00908888888888889,6.824,0.7582222222222222,2.375,0.2638888888888889,0.11692493644340142,0.01299165960482238,2.0282512073815893,0.22536124526462104,0.22982385617500936,0.025535984019445485,6.625,0.7361111111111112
spatial_spd,Latin America,Temperate_Dry_Winter,6,2,2,0.7470000000000001,0.37350000000000005,0.0526,0.0263,0.4104,0.2052,0.2838,0.1419,1.2530000000000001,0.6265000000000001,0.7470000000000001,0.37350000000000005,0.09494057289439932,0.04747028644719966,0.38857089924469146,0.19428544962234573,0.26348852786090926,0.13174426393045463,1.2530000000000001,0.6265000000000001
spatial_spd,Latin America,Temperate_Without_dry_season,18,18,18,5.585,0.31027777777777776,0.8338,0.04632222222222222,3.5722,0.19845555555555555,1.1795,0.06552777777777778,12.415,0.6897222222222222,5.62,0.31222222222222223,1.1674587671901977,0.06485882039945542,3.286158503134375,0.18256436128524306,1.1663827296754272,0.06479904053752374,12.379999999999999,0.6877777777777778
