analysis,region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status,spatial_scope
temporal_spd,North America,2500,residual_axis_2,1102.3683550552284,534,534,29229,6.476216139241214e-4,-0.001876172607879925,0.238,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,2500,residual_axis_3,1102.3683550552284,534,534,29229,-0.00958278729955824,-0.001876172607879925,0.982,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,3000,residual_axis_1,250,533,514,3418,0.2471723518867781,-0.0018796992481203006,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,3000,residual_axis_2,250,533,514,3418,0.08708668215411017,-0.0018796992481203006,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,3000,residual_axis_3,250,533,514,3418,0.03144474345033093,-0.0018796992481203006,0.037,TRUE,999,estimated,fixed_250km
temporal_spd,North America,3000,residual_axis_1,500,533,531,9873,0.08914160313157674,-0.0018796992481203006,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,3000,residual_axis_2,500,533,531,9873,0.02050936794261472,-0.0018796992481203006,0.019,TRUE,999,estimated,fixed_500km
temporal_spd,North America,3000,residual_axis_3,500,533,531,9873,-0.004327939827347122,-0.0018796992481203006,0.585,FALSE,999,estimated,fixed_500km
temporal_spd,North America,3000,residual_axis_1,1102.3683550552284,533,533,29243,-0.02093583534648019,-0.0018796992481203006,1,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,3000,residual_axis_2,1102.3683550552284,533,533,29243,-0.0014573582557507218,-0.0018796992481203006,0.391,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,3000,residual_axis_3,1102.3683550552284,533,533,29243,-0.012164059145097807,-0.0018796992481203006,0.998,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,3500,residual_axis_1,250,537,517,3480,0.328604602305623,-0.0018656716417910447,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,3500,residual_axis_2,250,537,517,3480,0.10628670130917557,-0.0018656716417910447,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,3500,residual_axis_3,250,537,517,3480,0.05568135226421788,-0.0018656716417910447,0.005,TRUE,999,estimated,fixed_250km
temporal_spd,North America,3500,residual_axis_1,500,537,535,10123,0.1371773571002008,-0.0018656716417910447,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,3500,residual_axis_2,500,537,535,10123,0.054510379239213175,-0.0018656716417910447,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,3500,residual_axis_3,500,537,535,10123,-0.004246886258930642,-0.0018656716417910447,0.586,FALSE,999,estimated,fixed_500km
temporal_spd,North America,3500,residual_axis_1,1102.3683550552284,537,537,29765,-0.015883560589256572,-0.0018656716417910447,1,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,3500,residual_axis_2,1102.3683550552284,537,537,29765,-0.0037027374462613007,-0.0018656716417910447,0.617,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,3500,residual_axis_3,1102.3683550552284,537,537,29765,-0.008377195746097604,-0.0018656716417910447,0.948,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,4000,residual_axis_1,250,545,526,3538,0.35817568956768747,-0.001838235294117647,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,4000,residual_axis_2,250,545,526,3538,0.08263413693478099,-0.001838235294117647,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,4000,residual_axis_3,250,545,526,3538,0.05916500111463461,-0.001838235294117647,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,4000,residual_axis_1,500,545,543,10238,0.15005286453557284,-0.001838235294117647,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,4000,residual_axis_2,500,545,543,10238,0.04268889948808315,-0.001838235294117647,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,4000,residual_axis_3,500,545,543,10238,-0.004176589142547008,-0.001838235294117647,0.586,FALSE,999,estimated,fixed_500km
temporal_spd,North America,4000,residual_axis_1,1102.3683550552284,545,545,30402,-0.01653159064826198,-0.001838235294117647,1,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,4000,residual_axis_2,1102.3683550552284,545,545,30402,-3.305765085752295e-4,-0.001838235294117647,0.305,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,4000,residual_axis_3,1102.3683550552284,545,545,30402,-0.007925537343450176,-0.001838235294117647,0.952,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,4500,residual_axis_1,250,541,521,3508,0.31653912861146466,-0.001851851851851852,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,4500,residual_axis_2,250,541,521,3508,0.08200614620990011,-0.001851851851851852,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,4500,residual_axis_3,250,541,521,3508,0.06219402494460404,-0.001851851851851852,0.001,TRUE,999,estimated,fixed_250km
temporal_spd,North America,4500,residual_axis_1,500,541,539,10127,0.11797469246177977,-0.001851851851851852,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,4500,residual_axis_2,500,541,539,10127,0.03780109606000393,-0.001851851851851852,0.001,TRUE,999,estimated,fixed_500km
temporal_spd,North America,4500,residual_axis_3,500,541,539,10127,-0.0022014998414701717,-0.001851851851851852,0.481,FALSE,999,estimated,fixed_500km
temporal_spd,North America,4500,residual_axis_1,1102.3683550552284,541,541,29910,-0.026787478979672884,-0.001851851851851852,1,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,4500,residual_axis_2,1102.3683550552284,541,541,29910,-0.0037284223891892346,-0.001851851851851852,0.614,FALSE,999,estimated,dbmem_connectivity
temporal_spd,North America,4500,residual_axis_3,1102.3683550552284,541,541,29910,-0.007696830361168321,-0.001851851851851852,0.917,FALSE,999,estimated,dbmem_connectivity
