region,age,fraction,adjusted_r_squared
Oceania,5500,shared,0.015077372515662768
Oceania,5500,total_explained,0.06878022618656032
Oceania,5500,unexplained,0.9312197738134397
Oceania,6000,pure_human,-0.00245768725440898
Oceania,6000,pure_climate,0.06763023140197644
Oceania,6000,pure_space,0
Oceania,6000,shared,0.002392127546723466
Oceania,6000,total_explained,0.06756467169429092
Oceania,6000,unexplained,0.9324353283057091
Oceania,7000,pure_human,-0.016585569950388068
Oceania,7000,pure_climate,0.0038261790880251834
Oceania,7000,pure_space,0
Oceania,7000,shared,0.005564798818815886
Oceania,7000,total_explained,-0.007194592043546999
Oceania,7000,unexplained,1.007194592043547
Oceania,7500,pure_human,0.01128754850355973
Oceania,7500,pure_climate,0.07868471276632494
Oceania,7500,pure_space,0.041408838130879366
Oceania,7500,shared,-0.03856204195932322
Oceania,7500,total_explained,0.09281905744144081
Oceania,7500,unexplained,0.9071809425585592
Asia,2000,pure_human,0.017215487731135015
Asia,2000,pure_climate,0.08813360982540241
Asia,2000,pure_space,0.031009644805093828
Asia,2000,shared,-0.008110331904127133
Asia,2000,total_explained,0.12824841045750413
Asia,2000,unexplained,0.8717515895424959
Asia,2500,pure_human,0.0036273321612295684
Asia,2500,pure_climate,0.09527374064501504
Asia,2500,pure_space,0.03344588447269414
Asia,2500,shared,-0.004457606242248557
Asia,2500,total_explained,0.1278893510366902
Asia,2500,unexplained,0.8721106489633098
Asia,3000,pure_human,0.004661322411520508
Asia,3000,pure_climate,0.08252700951067393
Asia,3000,pure_space,0.030875576840364016
Asia,3000,shared,0.003794425768658738
Asia,3000,total_explained,0.1218583345312172
Asia,3000,unexplained,0.8781416654687828
Asia,3500,pure_human,0.005805100667024998
Asia,3500,pure_climate,0.09303401411684054
Asia,3500,pure_space,0.03384766485258872
Asia,3500,shared,-0.005092963302502973
Asia,3500,total_explained,0.12759381633395128
Asia,3500,unexplained,0.8724061836660487
Asia,4000,pure_human,0.003935364354871629
Asia,4000,pure_climate,0.07090202673127233
Asia,4000,pure_space,0
Asia,4000,shared,0.0015817376542760497
Asia,4000,total_explained,0.07641912874042
Asia,4000,unexplained,0.92358087125958
