dataset_id,n_input_rows,n_unique_ages,n_collapsed_rows,had_repeated_ages
PVT_Xiehu_Lake_SO4,13,13,0,FALSE
PVT_Yamant_Nur_Lake,14,14,0,FALSE
PVT_Yidun_Lake,14,14,0,FALSE
PVT_Zigetang_Co,14,14,0,FALSE
PVT_Zoige_RH,18,12,6,TRUE
PANGAEA.896390,13,13,0,FALSE
cao_2,13,13,0,FALSE
cao_8,20,14,6,TRUE
cao_14,14,14,0,FALSE
cao_23,17,14,3,TRUE
cao_24,11,11,0,FALSE
cao_26,17,14,3,TRUE
cao_30,14,14,0,FALSE
cao_33,14,14,0,FALSE
cao_35,14,14,0,FALSE
cao_39,17,14,3,TRUE
cao_41,14,14,0,FALSE
cao_43,14,14,0,FALSE
cao_44,14,14,0,FALSE
cao_50,14,14,0,FALSE
cao_51,10,10,0,FALSE
cao_54,8,8,0,FALSE
cao_56,14,14,0,FALSE
cao_57,23,14,9,TRUE
cao_59,14,14,0,FALSE
cao_65,9,9,0,FALSE
cao_74,14,14,0,FALSE
cao_78,14,14,0,FALSE
cao_79,12,12,0,FALSE
cao_80,12,12,0,FALSE
cao_84,14,14,0,FALSE
cao_86,14,14,0,FALSE
cao_101,13,13,0,FALSE
cao_102,9,9,0,FALSE
cao_104,9,9,0,FALSE
cao_105,14,14,0,FALSE
cao_106,20,14,6,TRUE
cao_108,11,11,0,FALSE
cao_116,14,14,0,FALSE
cao_117,12,12,0,FALSE
cao_122,14,14,0,FALSE
cao_124,14,14,0,FALSE
cao_127,9,9,0,FALSE
cao_134,14,14,0,FALSE
cao_137,14,14,0,FALSE
cao_158,13,13,0,FALSE
cao_164,13,13,0,FALSE
cao_166,13,13,0,FALSE
cao_151,17,14,3,TRUE
cao_152,12,12,0,FALSE
cao_85,14,14,0,FALSE
cao_71,17,14,3,TRUE
PANGAEA.884462,16,13,3,TRUE
PANGAEA.896256,11,11,0,FALSE
PANGAEA.717128,17,14,3,TRUE
PANGAEA.808952,14,14,0,FALSE
PANGAEA.893308,14,14,0,FALSE
PANGAEA.783359,14,14,0,FALSE
cao_6,11,11,0,FALSE
Lake_Moon,14,14,0,FALSE
47817,13,13,0,FALSE
Sandynallah_SBBS,14,14,0,FALSE
876,17,14,3,TRUE
46462,13,13,0,FALSE
46466,12,12,0,FALSE
46483,14,14,0,FALSE
3896,14,14,0,FALSE
46479,14,14,0,FALSE
46485,14,14,0,FALSE
46447,13,13,0,FALSE
3975,14,14,0,FALSE
1444,13,10,3,TRUE
46488,14,14,0,FALSE
2643,14,14,0,FALSE
1844,22,13,9,TRUE
4543,14,14,0,FALSE
46473,10,10,0,FALSE
40990,14,14,0,FALSE
1979,14,14,0,FALSE
4102,10,10,0,FALSE
4010,13,13,0,FALSE
14619,14,14,0,FALSE
15720,9,9,0,FALSE
1439,9,9,0,FALSE
4081,14,14,0,FALSE
4097,16,11,5,TRUE
3861,14,14,0,FALSE
1845,13,13,0,FALSE
41247,14,14,0,FALSE
15624,14,14,0,FALSE
41245,14,14,0,FALSE
1860,14,14,0,FALSE
30184,12,12,0,FALSE
14612,13,13,0,FALSE
15649,13,13,0,FALSE
14134,14,14,0,FALSE
15656,14,14,0,FALSE
4020,14,14,0,FALSE
22330,14,14,0,FALSE
15704,14,14,0,FALSE
15709,13,13,0,FALSE
15665,14,14,0,FALSE
15678,14,14,0,FALSE
46523,8,8,0,FALSE
3927,11,11,0,FALSE
4137,14,14,0,FALSE
4442,13,13,0,FALSE
4509,14,14,0,FALSE
24161,14,14,0,FALSE
24166,12,12,0,FALSE
24175,14,14,0,FALSE
pg_711911,14,14,0,FALSE
pg_858056,14,14,0,FALSE
pg_874340,13,13,0,FALSE
pg_884740,17,14,3,TRUE
pg_907390,9,9,0,FALSE
pg_711930,14,14,0,FALSE
pg_738918,14,14,0,FALSE
ippd_12,17,3,14,TRUE
ippd_14,14,14,0,FALSE
ippd_23,13,13,0,FALSE
ippd_31,14,14,0,FALSE
ippd_69,17,14,3,TRUE
ippd_648,14,14,0,FALSE
ippd_975,14,14,0,FALSE
ippd_978,14,14,0,FALSE
ippd_991,14,14,0,FALSE
ippd_1016,10,10,0,FALSE
ippd_1070,14,14,0,FALSE
ippd_1443,12,12,0,FALSE
ippd_1444,10,10,0,FALSE
ippd_1999,13,13,0,FALSE
ippd_2000,14,14,0,FALSE
ippd_2008,14,14,0,FALSE
ippd_2009,14,14,0,FALSE
ippd_2094,14,14,0,FALSE
ippd_2113,14,14,0,FALSE
ippd_2122,14,14,0,FALSE
ippd_2133,14,14,0,FALSE
ippd_2160,14,14,0,FALSE
ippd_2163,14,14,0,FALSE
ippd_2179,14,14,0,FALSE
ippd_2216,14,14,0,FALSE
ippd_2264,23,14,9,TRUE
ippd_2268,13,13,0,FALSE
ippd_2270,14,14,0,FALSE
ippd_2271,9,9,0,FALSE
ippd_2283,8,8,0,FALSE
ippd_2284,8,8,0,FALSE
ippd_2287,14,14,0,FALSE
ippd_2306,14,14,0,FALSE
ippd_2308,17,14,3,TRUE
ippd_2313,14,14,0,FALSE
ippd_2357,17,14,3,TRUE
