analysis,aggregation_level,n_models,n_eligible,n_excluded,n_missing_result,n_missing_predictor,n_non_finite_total,n_non_positive_total,n_non_finite_individual,n_negative_unique,n_negative_individual,region,climatezone,age
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Cold_Dry_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Cold_Dry_Winter,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Cold_Without_dry_season_Cold_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,1,0,Asia,Cold_Without_dry_season_Warm_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Polar,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Temperate_Dry_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Temperate_Dry_Winter,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Asia,Temperate_Without_dry_season,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Europe,Arid,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Europe,Cold_Without_dry_season_Cold_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Europe,Cold_Without_dry_season_Warm_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Europe,Polar,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Europe,Temperate_Dry_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Europe,Temperate_Without_dry_season,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Latin America,Arid,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Latin America,Polar,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Latin America,Temperate_Dry_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Latin America,Temperate_Dry_Winter,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Latin America,Temperate_Without_dry_season,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Latin America,Tropical,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Arid,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Cold_Dry_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Cold_Without_dry_season_Cold_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Cold_Without_dry_season_Hot_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Cold_Without_dry_season_Warm_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Polar,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Temperate_Dry_Summer,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,North America,Temperate_Without_dry_season,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Oceania,Temperate_Without_dry_season,NA
h2_spd,region_climatezone,1,1,0,0,0,0,0,0,0,0,Oceania,Tropical,NA
