analysis,aggregation_level,predictor,profile,individual_sum,total_sum,pooled_allocation,n_models,signed_allocation,delta_from_signed,region,climatezone,age
spatial_events,region_climatezone,human,zero_truncated,0.0902,0.28159999999999996,0.32031250000000006,1,0.3198581560283688,4.543439716312436e-4,Asia,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,1.6006,2.3061000000000003,0.6940722431811283,6,0.6944034707158351,-3.3122753470682387e-4,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.7055,2.3061000000000003,0.3059277568188717,6,0.3060737527114967,-1.4599589262503931e-4,Asia,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,1.9825,2.9583,0.6701483960382653,8,0.6707739307535641,-6.255347152988033e-4,Asia,Polar,NA
spatial_events,region_climatezone,human,zero_truncated,0.9758,2.9583,0.3298516039617348,8,0.3291581805838425,6.934233778922994e-4,Asia,Polar,NA
spatial_events,region_climatezone,climate,zero_truncated,1.2847,2.4234,0.5301229677312866,5,0.5297731958762887,3.4977185499796004e-4,Asia,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,1.1387,2.4234,0.4698770322687134,5,0.4695670103092784,3.100219594350251e-4,Asia,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,0.6031,0.7313999999999999,0.8245829915231064,1,0.8250341997264021,-4.5120820329569433e-4,Asia,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,human,zero_truncated,0.1283,0.7313999999999999,0.17541700847689365,1,0.17551299589603284,-9.59874191391874e-5,Asia,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,climate,zero_truncated,1.4413,1.8952,0.7605002110595188,4,0.7605804749340369,-8.026387451809391e-5,Asia,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,zero_truncated,0.4539,1.8952,0.23949978894048124,4,0.2395250659630607,-2.52770225794563e-5,Asia,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,zero_truncated,1.609,3.0391000000000004,0.5294330558388997,6,0.5294504771306351,-1.7421291735431055e-5,Europe,Arid,NA
spatial_events,region_climatezone,human,zero_truncated,1.4301,3.0391000000000004,0.47056694416110023,6,0.4705824284304047,-1.548426930447766e-5,Europe,Arid,NA
spatial_events,region_climatezone,climate,zero_truncated,7.2501,11.1416,0.6507234149493789,28,0.6506416584402763,8.175650910258181e-5,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,3.8914999999999997,11.1416,0.34927658505062104,28,0.34923270214484425,4.3882905776782e-5,Europe,Cold_Without_dry_season_Cold_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,8.684,19.3169,0.44955453514797916,47,0.4423948734244254,0.007159661723553756,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,10.6329,19.3169,0.5504454648520207,47,0.5576157186738693,-0.007170253821848549,Europe,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,1.3866,3.3758000000000004,0.4107470821731145,7,0.409028809028809,0.0017182731443055044,Europe,Polar,NA
spatial_events,region_climatezone,human,zero_truncated,1.9891999999999999,3.3758000000000004,0.5892529178268854,7,0.5907929907929907,-0.0015400729661053658,Europe,Polar,NA
spatial_events,region_climatezone,climate,zero_truncated,1.8504,3.23,0.5728792569659443,7,0.5730566738928461,-1.7741692690176336e-4,Europe,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,1.3796,3.23,0.4271207430340557,7,0.4272530195106844,-1.322764766286677e-4,Europe,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,8.3434,16.9697,0.4916645550599009,36,0.49069547762427684,9.690774356240772e-4,Europe,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,zero_truncated,8.6263,16.9697,0.5083354449400992,36,0.5092868107214548,-9.513657813555731e-4,Europe,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,zero_truncated,0.0494,0.2402,0.20566194837635304,1,0.20583333333333334,-1.713849569802972e-4,Latin America,Cold_Dry_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.1908,0.2402,0.794338051623647,1,0.795,-6.619483763530276e-4,Latin America,Cold_Dry_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,1.6623000000000001,1.9677,0.8447934136301266,7,0.8928651059085843,-0.048071692278457645,Latin America,Polar,NA
spatial_events,region_climatezone,human,zero_truncated,0.3054,1.9677,0.15520658636987344,7,0.10730211817168339,0.04790446819819005,Latin America,Polar,NA
spatial_events,region_climatezone,climate,zero_truncated,1.5059,1.7684,0.8515607328658674,5,0.9088111044055522,-0.05725037153968482,Latin America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.2625,1.7684,0.14843926713413255,5,0.09173204586602293,0.05670722126810962,Latin America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,0.3518,0.38480000000000003,0.9142411642411642,1,0.9137662337662338,4.7493047493041285e-4,Latin America,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,human,zero_truncated,0.033,0.38480000000000003,0.08575883575883575,1,0.08571428571428572,4.455004455003464e-5,Latin America,Temperate_Dry_Winter,NA
spatial_events,region_climatezone,climate,zero_truncated,2.0297,2.5173,0.8063004012235332,8,0.8183689947517158,-0.01206859352818257,Latin America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,human,zero_truncated,0.48760000000000003,2.5173,0.19369959877646686,8,0.18130803391199032,0.01239156486447654,Latin America,Temperate_Without_dry_season,NA
spatial_events,region_climatezone,climate,zero_truncated,2.4248,3.6278,0.6683940680302111,9,0.692997999428408,-0.024603931398196943,Latin America,Tropical,NA
spatial_events,region_climatezone,human,zero_truncated,1.203,3.6278,0.3316059319697889,9,0.30708773935410116,0.024518192615687717,Latin America,Tropical,NA
spatial_events,region_climatezone,climate,zero_truncated,0.20650000000000002,0.5059,0.40818343546155367,2,0.4440860215053764,-0.03590258604382274,North America,Arid,NA
spatial_events,region_climatezone,human,zero_truncated,0.2994,0.5059,0.5918165645384463,2,0.5552688172043011,0.03654774733414523,North America,Arid,NA
spatial_events,region_climatezone,climate,zero_truncated,2.4058,2.9423,0.8176596540121674,5,0.8194141689373298,-0.0017545149251623204,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.5365,2.9423,0.18234034598783264,5,0.18044959128065396,0.0018907547071786712,North America,Cold_Without_dry_season_Hot_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,5.4278,7.3194,0.7415635161352024,17,0.743025325119781,-0.0014618089845785942,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,1.8916,7.3194,0.2584364838647977,17,0.2570704996577686,0.0013659842070290473,North America,Cold_Without_dry_season_Warm_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,0.0918,0.1096,0.8375912408759124,1,0.8345454545454546,0.0030457863304578225,North America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,human,zero_truncated,0.0178,0.1096,0.1624087591240876,1,0.1618181818181818,5.905773059057817e-4,North America,Temperate_Dry_Summer,NA
spatial_events,region_climatezone,climate,zero_truncated,0.7118,1.1851,0.6006244198801789,3,0.6006751054852321,-5.068560505316899e-5,North America,Temperate_Without_dry_season,NA
