analysis,region,age,n_models,n_available,n_accounting_valid,total_adjusted_r_squared_sum,total_adjusted_r_squared_mean,unique_human_sum,unique_human_mean,unique_climate_sum,unique_climate_mean,shared_sum,shared_mean,unexplained_sum,unexplained_mean,bounded_total_adjusted_r_squared_sum,bounded_total_adjusted_r_squared_mean,bounded_unique_human_sum,bounded_unique_human_mean,bounded_unique_climate_sum,bounded_unique_climate_mean,bounded_shared_sum,bounded_shared_mean,bounded_unexplained_sum,bounded_unexplained_mean
temporal_events,Latin America,6500,1,1,1,0.164,0.164,0.0011,0.0011,0.1588,0.1588,0.0044,0.0044,0.836,0.836,0.164,0.164,0.0010979914790018263,0.0010979914790018263,0.1585100426049909,0.1585100426049909,0.004391965916007305,0.004391965916007305,0.836,0.836
temporal_events,Latin America,7000,1,1,1,0.132,0.132,0.0058,0.0058,0.122,0.122,0.004,0.004,0.868,0.868,0.132,0.132,0.005808801213960546,0.005808801213960546,0.12218512898330804,0.12218512898330804,0.004006069802731411,0.004006069802731411,0.868,0.868
temporal_events,Latin America,7500,1,1,1,0.145,0.145,0.0027,0.0027,0.141,0.141,0.0014,0.0014,0.855,0.855,0.145,0.145,0.0026981392143349413,0.0026981392143349413,0.14090282563749135,0.14090282563749135,0.001399035148173673,0.001399035148173673,0.855,0.855
temporal_events,Latin America,8000,1,1,1,0.111,0.111,-0.0042,-0.0042,0.1173,0.1173,-0.0023,-0.0023,0.889,0.889,0.111,0.111,0,0,0.111,0.111,0,0,0.889,0.889
temporal_events,Latin America,8500,1,1,1,0.117,0.117,-0.0038,-0.0038,0.1233,0.1233,-0.0028,-0.0028,0.883,0.883,0.117,0.117,0,0,0.117,0.117,0,0,0.883,0.883
temporal_events,North America,500,1,1,1,0.158,0.158,0.0374,0.0374,0.0855,0.0855,0.0354,0.0354,0.842,0.842,0.158,0.158,0.0373291219204043,0.0373291219204043,0.08533796588755528,0.08533796588755528,0.03533291219204043,0.03533291219204043,0.842,0.842
temporal_events,North America,1000,1,1,1,0.109,0.109,0.0101,0.0101,0.0903,0.0903,0.0087,0.0087,0.891,0.891,0.109,0.109,0.010090742438130155,0.010090742438130155,0.09021723189734189,0.09021723189734189,0.008692025664527954,0.008692025664527954,0.891,0.891
temporal_events,North America,1500,1,1,1,0.102,0.102,0.0024,0.0024,0.0912,0.0912,0.0082,0.0082,0.898,0.898,0.102,0.102,0.002404715127701375,0.002404715127701375,0.09137917485265226,0.09137917485265226,0.008216110019646367,0.008216110019646367,0.898,0.898
temporal_events,North America,2000,1,1,1,0.101,0.101,-2e-4,-2e-4,0.0939,0.0939,0.0069,0.0069,0.899,0.899,0.101,0.101,0,0,0.09408630952380952,0.09408630952380952,0.006913690476190476,0.006913690476190476,0.899,0.899
temporal_events,North America,2500,1,1,1,0.102,0.102,0.0017,0.0017,0.0919,0.0919,0.0089,0.0089,0.898,0.898,0.102,0.102,0.0016917073170731706,0.0016917073170731706,0.09145170731707317,0.09145170731707317,0.008856585365853658,0.008856585365853658,0.898,0.898
temporal_events,North America,3000,1,1,1,0.108,0.108,0.0034,0.0034,0.0959,0.0959,0.0084,0.0084,0.892,0.892,0.108,0.108,0.003409470752089136,0.003409470752089136,0.09616713091922005,0.09616713091922005,0.008423398328690808,0.008423398328690808,0.892,0.892
temporal_events,North America,3500,1,1,1,0.105,0.105,0.0038,0.0038,0.0925,0.0925,0.0091,0.0091,0.895,0.895,0.105,0.105,0.0037855787476280835,0.0037855787476280835,0.09214895635673624,0.09214895635673624,0.009065464895635674,0.009065464895635674,0.895,0.895
temporal_events,North America,4000,1,1,1,0.094,0.094,0.003,0.003,0.0831,0.0831,0.0081,0.0081,0.906,0.906,0.094,0.094,0.002993630573248408,0.002993630573248408,0.08292356687898089,0.08292356687898089,0.0080828025477707,0.0080828025477707,0.906,0.906
temporal_events,North America,4500,1,1,1,0.103,0.103,0.0038,0.0038,0.0918,0.0918,0.0077,0.0077,0.897,0.897,0.103,0.103,0.003788964181994191,0.003788964181994191,0.09153339787028074,0.09153339787028074,0.007677637947725072,0.007677637947725072,0.897,0.897
temporal_events,North America,5000,1,1,1,0.109,0.109,0.0071,0.0071,0.0941,0.0941,0.0073,0.0073,0.891,0.891,0.109,0.109,0.007132718894009218,0.007132718894009218,0.0945336405529954,0.0945336405529954,0.007333640552995392,0.007333640552995392,0.891,0.891
temporal_events,North America,5500,1,1,1,0.093,0.093,0.0056,0.0056,0.0806,0.0806,0.0066,0.0066,0.907,0.907,0.093,0.093,0.005612068965517241,0.005612068965517241,0.08077370689655174,0.08077370689655174,0.006614224137931035,0.006614224137931035,0.907,0.907
temporal_events,North America,6000,1,1,1,0.099,0.099,0.0052,0.0052,0.0856,0.0856,0.0084,0.0084,0.901,0.901,0.099,0.099,0.005189516129032258,0.005189516129032258,0.0854274193548387,0.0854274193548387,0.008383064516129033,0.008383064516129033,0.901,0.901
temporal_events,North America,6500,1,1,1,0.099,0.099,0.005,0.005,0.0868,0.0868,0.0075,0.0075,0.901,0.901,0.099,0.099,0.004984894259818732,0.004984894259818732,0.08653776435045317,0.08653776435045317,0.007477341389728096,0.007477341389728096,0.901,0.901
temporal_events,North America,7000,1,1,1,0.095,0.095,-3e-4,-3e-4,0.0923,0.0923,0.0029,0.0029,0.905,0.905,0.095,0.095,0,0,0.09210609243697479,0.09210609243697479,0.00289390756302521,0.00289390756302521,0.905,0.905
temporal_events,North America,7500,1,1,1,0.103,0.103,0.0089,0.0089,0.0823,0.0823,0.0118,0.0118,0.897,0.897,0.103,0.103,0.008899999999999998,0.008899999999999998,0.08229999999999998,0.08229999999999998,0.011799999999999998,0.011799999999999998,0.897,0.897
temporal_events,North America,8000,1,1,1,0.132,0.132,0.0151,0.0151,0.0977,0.0977,0.0193,0.0193,0.868,0.868,0.132,0.132,0.015088569265707799,0.015088569265707799,0.09762604087812264,0.09762604087812264,0.019285389856169573,0.019285389856169573,0.868,0.868
temporal_events,North America,8500,1,1,1,0.147,0.147,0.0318,0.0318,0.0946,0.0946,0.0209,0.0209,0.853,0.853,0.147,0.147,0.03173523421588594,0.03173523421588594,0.09440733197556007,0.09440733197556007,0.02085743380855397,0.02085743380855397,0.853,0.853
temporal_events,Oceania,500,1,1,1,0.068,0.068,-0.0219,-0.0219,0.0816,0.0816,0.0079,0.0079,0.9319999999999999,0.9319999999999999,0.068,0.068,0,0,0.061997765363128496,0.061997765363128496,0.006002234636871509,0.006002234636871509,0.9319999999999999,0.9319999999999999
temporal_events,Oceania,1000,1,1,1,0.119,0.119,0.0387,0.0387,0.0929,0.0929,-0.013,-0.013,0.881,0.881,0.119,0.119,0.03499468085106383,0.03499468085106383,0.08400531914893616,0.08400531914893616,0,0,0.881,0.881
temporal_events,Oceania,1500,1,1,1,0.067,0.067,-0.0092,-0.0092,0.0689,0.0689,0.0075,0.0075,0.933,0.933,0.067,0.067,0,0,0.060422774869109956,0.060422774869109956,0.006577225130890052,0.006577225130890052,0.933,0.933
temporal_events,Oceania,2000,1,1,1,0.031,0.031,0.0081,0.0081,0.0195,0.0195,0.0031,0.0031,0.969,0.969,0.031,0.031,0.00817915309446254,0.00817915309446254,0.01969055374592834,0.01969055374592834,0.0031302931596091203,0.0031302931596091203,0.969,0.969
temporal_events,Oceania,2500,1,1,1,0.121,0.121,0.0233,0.0233,0.1051,0.1051,-0.0071,-0.0071,0.879,0.879,0.121,0.121,0.021957165109034265,0.021957165109034265,0.09904283489096571,0.09904283489096571,0,0,0.879,0.879
temporal_events,Oceania,3000,1,1,1,0.141,0.141,0.0115,0.0115,0.1184,0.1184,0.0116,0.0116,0.859,0.859,0.141,0.141,0.01145936395759717,0.01145936395759717,0.11798162544169609,0.11798162544169609,0.01155901060070671,0.01155901060070671,0.859,0.859
temporal_events,Oceania,3500,1,1,1,0.12,0.12,-0.0178,-0.0178,0.1321,0.1321,0.0061,0.0061,0.88,0.88,0.12,0.12,0,0,0.11470332850940666,0.11470332850940666,0.005296671490593344,0.005296671490593344,0.88,0.88
temporal_events,Oceania,4000,1,1,1,0.087,0.087,-0.0176,-0.0176,0.0943,0.0943,0.0103,0.0103,0.913,0.913,0.087,0.087,0,0,0.07843307839388144,0.07843307839388144,0.008566921606118546,0.008566921606118546,0.913,0.913
temporal_events,Oceania,4500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,5000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,5500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,6000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,6500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,7000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,7500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,8000,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_events,Oceania,8500,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
temporal_spd,Asia,2000,1,1,1,0.097,0.097,0.0289,0.0289,0.0855,0.0855,-0.0172,-0.0172,0.903,0.903,0.097,0.097,0.02450437062937063,0.02450437062937063,0.07249562937062938,0.07249562937062938,0,0,0.903,0.903
temporal_spd,Asia,2500,1,1,1,0.094,0.094,0.0109,0.0109,0.0944,0.0944,-0.0108,-0.0108,0.906,0.906,0.094,0.094,0.009730294396961063,0.009730294396961063,0.08426970560303892,0.08426970560303892,0,0,0.906,0.906
temporal_spd,Asia,3000,1,1,1,0.091,0.091,0.0098,0.0098,0.091,0.091,-0.0098,-0.0098,0.909,0.909,0.091,0.091,0.008847222222222222,0.008847222222222222,0.08215277777777778,0.08215277777777778,0,0,0.909,0.909
temporal_spd,Asia,3500,1,1,1,0.094,0.094,4e-4,4e-4,0.0829,0.0829,0.0104,0.0104,0.906,0.906,0.094,0.094,4.012806830309498e-4,4.012806830309498e-4,0.08316542155816435,0.08316542155816435,0.010433297758804694,0.010433297758804694,0.906,0.906
temporal_spd,Asia,4000,1,1,1,0.076,0.076,0.0039,0.0039,0.0709,0.0709,0.0016,0.0016,0.924,0.924,0.076,0.076,0.00387958115183246,0.00387958115183246,0.07052879581151832,0.07052879581151832,0.0015916230366492144,0.0015916230366492144,0.924,0.924
temporal_spd,Asia,4500,1,1,1,0.084,0.084,0.0028,0.0028,0.0592,0.0592,0.0224,0.0224,0.916,0.916,0.084,0.084,0.0027867298578199053,0.0027867298578199053,0.05891943127962086,0.05891943127962086,0.022293838862559243,0.022293838862559243,0.916,0.916
temporal_spd,Asia,5000,1,1,1,0.087,0.087,0.0056,0.0056,0.0521,0.0521,0.0287,0.0287,0.913,0.913,0.087,0.087,0.005638888888888889,0.005638888888888889,0.05246180555555555,0.05246180555555555,0.028899305555555553,0.028899305555555553,0.913,0.913
temporal_spd,Asia,5500,1,1,1,0.093,0.093,-9e-4,-9e-4,0.0791,0.0791,0.0148,0.0148,0.907,0.907,0.093,0.093,0,0,0.07834185303514377,0.07834185303514377,0.014658146964856228,0.014658146964856228,0.907,0.907
temporal_spd,Asia,6000,1,1,1,0.106,0.106,0.0122,0.0122,0.065,0.065,0.0288,0.0288,0.894,0.894,0.106,0.106,0.012199999999999999,0.012199999999999999,0.06499999999999999,0.06499999999999999,0.028799999999999996,0.028799999999999996,0.894,0.894
