summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region
continent,controlled_climate,spd_events_minus_spd,observed_events_only,14,14,-0.0466,-0.0092,-0.0021000000000000046,-0.008507142857142855,2.750000000000079e-4,0.003500000000000003,8,1,5,Latin America
continent,controlled_human,events_minus_spd,as_coded,14,14,-0.056900000000000006,-0.01355,-0.0069500000000000004,-0.008014285714285715,0.005425,0.008299999999999998,8,0,6,Latin America
continent,controlled_human,events_minus_spd,observed_events_only,14,14,-0.056900000000000006,-0.01355,-0.0069500000000000004,-0.008014285714285715,0.005425,0.008299999999999998,8,0,6,Latin America
continent,controlled_human,spd_events_minus_spd,as_coded,14,14,-0.0051,6.250000000000001e-4,0.003499999999999998,0.005807142857142857,0.010675,0.026999999999999996,3,0,11,Latin America
continent,controlled_human,spd_events_minus_spd,observed_events_only,14,14,-0.0051,6.250000000000001e-4,0.003499999999999998,0.005807142857142857,0.010675,0.026999999999999996,3,0,11,Latin America
continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,14,14,-0.09754791247601702,-0.06727536481951066,-0.013764719836715456,-0.029115303530694407,-0.0018493329923620905,0.03721473327169145,11,0,3,Latin America
continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,14,14,-0.09754791247601702,-0.06727536481951066,-0.013764719836715456,-0.029115303530694407,-0.0018493329923620905,0.03721473327169145,11,0,3,Latin America
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,14,14,-0.09265713764822037,-0.021574472667960642,-0.004115084916910539,-0.017453619947331817,3.896234806131105e-4,0.006915263768623725,8,0,6,Latin America
continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,14,14,-0.09265713764822037,-0.021574472667960642,-0.004115084916910539,-0.017453619947331817,3.896234806131105e-4,0.006915263768623725,8,0,6,Latin America
continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,14,14,-0.0633712050921339,-0.020042317261736053,-0.01699594160118223,-0.014648282439319102,0.0021958191813132577,0.007704591701170993,10,0,4,Latin America
continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,14,14,-0.0633712050921339,-0.020042317261736053,-0.01699594160118223,-0.014648282439319102,0.0021958191813132577,0.007704591701170993,10,0,4,Latin America
continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,14,14,-0.0048881266555411695,-0.0015952376728333995,-1.687786154069837e-4,0.0013294976504237912,0.002253717607687361,0.021267345223215606,8,0,6,Latin America
continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,14,14,-0.0048881266555411695,-0.0015952376728333995,-1.687786154069837e-4,0.0013294976504237912,0.002253717607687361,0.021267345223215606,8,0,6,Latin America
continent,zero_allocation_climate,events_minus_spd,as_coded,14,14,-0.3427750656743289,-0.1584730036415687,-0.016174000964707835,-0.05505173212513831,0.021418243943303522,0.2962962962962963,9,0,5,Latin America
continent,zero_allocation_climate,events_minus_spd,observed_events_only,14,14,-0.3427750656743289,-0.1584730036415687,-0.016174000964707835,-0.05505173212513831,0.021418243943303522,0.2962962962962963,9,0,5,Latin America
continent,zero_allocation_climate,spd_events_minus_spd,as_coded,14,14,-0.3657831839113155,-0.05334970541848594,-0.008520379483858531,-0.058380905375565485,0.011574378186952838,0.07997793712079426,9,1,4,Latin America
continent,zero_allocation_climate,spd_events_minus_spd,observed_events_only,14,14,-0.3657831839113155,-0.05334970541848594,-0.008520379483858531,-0.058380905375565485,0.011574378186952838,0.07997793712079426,9,1,4,Latin America
continent,zero_allocation_human,events_minus_spd,as_coded,14,14,-0.2962962962962963,-0.056812878896900926,-0.03351866855316023,-0.0378209612734147,0.018541329068566714,0.04638653013474637,8,0,6,Latin America
continent,zero_allocation_human,events_minus_spd,observed_events_only,14,14,-0.2962962962962963,-0.056812878896900926,-0.03351866855316023,-0.0378209612734147,0.018541329068566714,0.04638653013474637,8,0,6,Latin America
