summary_index,summary_level,cohort,metric,contrast,n_source_rows,maximum_absolute_difference,reconciled
896,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,1,0,TRUE
897,climate_zone_within_continent,as_coded,climate,events_minus_spd,1,0,TRUE
898,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,1,0,TRUE
899,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,1,0,TRUE
900,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,1,0,TRUE
901,climate_zone_within_continent,as_coded,human,events_minus_spd,1,0,TRUE
902,climate_zone_within_continent,observed_events_only,human,events_minus_spd,1,0,TRUE
903,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,1,0,TRUE
904,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,1,0,TRUE
905,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,1,0,TRUE
906,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,1,0,TRUE
907,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,1,0,TRUE
908,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,1,0,TRUE
909,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,1,0,TRUE
910,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,1,0,TRUE
911,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,1,0,TRUE
912,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,1,0,TRUE
913,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
914,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
915,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
916,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
917,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
918,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
919,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
920,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
921,climate_zone_within_continent,as_coded,zero_balance,events_minus_spd,1,0,TRUE
922,climate_zone_within_continent,observed_events_only,zero_balance,events_minus_spd,1,0,TRUE
923,climate_zone_within_continent,as_coded,zero_balance,spd_events_minus_spd,1,0,TRUE
924,climate_zone_within_continent,observed_events_only,zero_balance,spd_events_minus_spd,1,0,TRUE
925,climate_zone_within_continent,as_coded,climate,events_minus_spd,1,0,TRUE
926,climate_zone_within_continent,observed_events_only,climate,events_minus_spd,1,0,TRUE
927,climate_zone_within_continent,as_coded,climate,spd_events_minus_spd,1,0,TRUE
928,climate_zone_within_continent,observed_events_only,climate,spd_events_minus_spd,1,0,TRUE
929,climate_zone_within_continent,as_coded,human,events_minus_spd,1,0,TRUE
930,climate_zone_within_continent,observed_events_only,human,events_minus_spd,1,0,TRUE
931,climate_zone_within_continent,as_coded,human,spd_events_minus_spd,1,0,TRUE
932,climate_zone_within_continent,observed_events_only,human,spd_events_minus_spd,1,0,TRUE
933,climate_zone_within_continent,as_coded,signed_balance,events_minus_spd,1,0,TRUE
934,climate_zone_within_continent,observed_events_only,signed_balance,events_minus_spd,1,0,TRUE
935,climate_zone_within_continent,as_coded,signed_balance,spd_events_minus_spd,1,0,TRUE
936,climate_zone_within_continent,observed_events_only,signed_balance,spd_events_minus_spd,1,0,TRUE
937,climate_zone_within_continent,as_coded,signed_difference,events_minus_spd,1,0,TRUE
938,climate_zone_within_continent,observed_events_only,signed_difference,events_minus_spd,1,0,TRUE
939,climate_zone_within_continent,as_coded,signed_difference,spd_events_minus_spd,1,0,TRUE
940,climate_zone_within_continent,observed_events_only,signed_difference,spd_events_minus_spd,1,0,TRUE
941,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
942,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,events_minus_spd,1,0,TRUE
943,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
944,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_climate,spd_events_minus_spd,1,0,TRUE
945,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
946,climate_zone_within_continent,observed_events_only,unique_adjusted_r2_pure_human,events_minus_spd,1,0,TRUE
947,climate_zone_within_continent,as_coded,unique_adjusted_r2_pure_human,spd_events_minus_spd,1,0,TRUE
