cohort,proxy_variant,radius_km,spd_radius_specification,profile_id,aggregation_level,profile,adjusted_balance,n_records,weight_sum,region,climatezone,ranking,selection_status,requested_regional_events,retained_human_predictors,reference_category
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.09925881975507377,17,4.1437,North America,Temperate_Dry_Summer,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.3165964636207371,39,9.1986,North America,Temperate_Without_dry_season,climate,selected,,spd,bi
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.283501791319524,1,0.24609999999999999,Oceania,Arid,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.7018859374247703,1,0.0341,Oceania,Cold_Without_dry_season_Cold_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.017029462622095985,2,0.48649999999999993,Oceania,Cold_Without_dry_season_Warm_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.670944880545805,1,0.14539999999999997,Oceania,Temperate_Dry_Summer,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,0.8980534971791555,1,0.1756,Oceania,Temperate_Dry_Winter,human,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.41242840165975697,22,6.7173,Oceania,Temperate_Without_dry_season,climate,selected,,spd,no_impact
as_coded,spd,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd,region_climatezone,zero_truncated,-0.6782543925871919,4,0.9384,Oceania,Tropical,climate,selected,,spd,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,overall,signed,-0.12119145629708541,1023,458.394,All,All,climate,selected,continent_specific;see_regional_model_audit,continent_specific;see_regional_model_audit,continent_specific;see_regional_model_audit
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region,signed,-0.11287846080295998,89,36.082,Asia,All,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region,signed,-0.11384251484638407,299,140.006,Europe,All,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region,signed,-0.15215234122628193,70,31.885,Latin America,All,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region,signed,-0.12839757366369356,531,232.828,North America,All,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region,signed,-0.04524486901611277,34,17.593,Oceania,All,climate,selected,weak;medium;strong,spd;weak;medium;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.10098866127076357,15,5.217,Asia,Arid,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,0.026841912211489915,3,1.433,Asia,Cold_Dry_Summer,human,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.13497919326725594,20,8.076,Asia,Cold_Dry_Winter,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.21661425873109333,10,4.433,Asia,Cold_Without_dry_season_Cold_Summer,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,0.00845429610314734,2,0.485,Asia,Cold_Without_dry_season_Hot_Summer,human,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.15215945783919546,13,5.475,Asia,Cold_Without_dry_season_Warm_Summer,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.020038933776692698,11,3.847,Asia,Polar,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.04955265221356956,8,3.884,Asia,Temperate_Dry_Winter,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.1347831948529048,7,3.2319999999999998,Asia,Temperate_Without_dry_season,climate,selected,fi;fc;ei,spd;fi;fc;ei,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,0.0247473869678548,3,1.5870000000000002,Europe,Arid,human,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.28565740393681294,1,0.546,Europe,Cold_Dry_Summer,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.14962794526427603,80,38.034,Europe,Cold_Without_dry_season_Cold_Summer,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.11175475832922228,117,53.734,Europe,Cold_Without_dry_season_Warm_Summer,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.15127392668738313,25,10.841,Europe,Polar,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.06308899568234394,8,3.255,Europe,Temperate_Dry_Summer,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.07125013339196719,65,32.009,Europe,Temperate_Without_dry_season,climate,selected,fi;fc;ec;cc,spd;fi;fc;ec;cc,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.11474089845577913,5,2.137,Latin America,Arid,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.07268303571428568,2,0.784,Latin America,Cold_Dry_Summer,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.19772757224369594,24,10.866,Latin America,Polar,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.22980196629213478,8,3.2039999999999997,Latin America,Temperate_Dry_Summer,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.08362755632582324,2,1.154,Latin America,Temperate_Dry_Winter,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.13807406173018405,15,6.901,Latin America,Temperate_Without_dry_season,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.08993186138324318,14,6.839,Latin America,Tropical,climate,selected,weak;strong,spd;weak;strong,no_impact
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.12269338984672735,16,4.97,North America,Arid,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.0843630171846317,49,20.066,North America,Cold_Dry_Summer,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.14940750035176445,136,62.559,North America,Cold_Without_dry_season_Cold_Summer,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.1554847358349774,51,21.455,North America,Cold_Without_dry_season_Hot_Summer,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.11905358155077063,189,85.467,North America,Cold_Without_dry_season_Warm_Summer,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.16661859459137054,36,15.727,North America,Polar,climate,selected,fc;es,spd;fc;es,bi
as_coded,spd_events,250,250_km_with_500_km_fallback,human_event_as_coded_spatial_aggregation_spd_events,region_climatezone,signed,-0.062135720502514515,17,6.994,North America,Temperate_Dry_Summer,climate,selected,fc;es,spd;fc;es,bi
