summary_level,metric,contrast,cohort,n_units,n_finite,minimum,lower_quartile,median,mean,upper_quartile,maximum,n_negative,n_zero,n_positive,region,climatezone
climate_zone_within_continent,climate,events_minus_spd,as_coded,2,2,-0.09110000000000001,-0.06897500000000001,-0.04685000000000002,-0.04685000000000002,-0.024725000000000018,-0.002600000000000019,2,0,0,Europe,Arid
climate_zone_within_continent,climate,events_minus_spd,observed_events_only,2,2,-0.09110000000000001,-0.06897500000000001,-0.04685000000000002,-0.04685000000000002,-0.024725000000000018,-0.002600000000000019,2,0,0,Europe,Arid
climate_zone_within_continent,climate,spd_events_minus_spd,as_coded,2,2,-0.08380000000000001,-0.057125000000000016,-0.030450000000000005,-0.030450000000000005,-0.0037750000000000006,0.022900000000000004,1,0,1,Europe,Arid
climate_zone_within_continent,climate,spd_events_minus_spd,observed_events_only,2,2,-0.08380000000000001,-0.057125000000000016,-0.030450000000000005,-0.030450000000000005,-0.0037750000000000006,0.022900000000000004,1,0,1,Europe,Arid
climate_zone_within_continent,human,events_minus_spd,as_coded,2,2,0.1618,0.19524999999999998,0.2287,0.2287,0.26215,0.2956,0,0,2,Europe,Arid
climate_zone_within_continent,human,events_minus_spd,observed_events_only,2,2,0.1618,0.19524999999999998,0.2287,0.2287,0.26215,0.2956,0,0,2,Europe,Arid
climate_zone_within_continent,human,spd_events_minus_spd,as_coded,2,2,0.1676,0.19640000000000002,0.2252,0.2252,0.254,0.2828,0,0,2,Europe,Arid
climate_zone_within_continent,human,spd_events_minus_spd,observed_events_only,2,2,0.1676,0.19640000000000002,0.2252,0.2252,0.254,0.2828,0,0,2,Europe,Arid
climate_zone_within_continent,signed_balance,events_minus_spd,as_coded,2,2,0.47173639675637563,0.5017009195253516,0.5316654422943274,0.5316654422943274,0.5616299650633034,0.5915944878322793,0,0,2,Europe,Arid
climate_zone_within_continent,signed_balance,events_minus_spd,observed_events_only,2,2,0.47173639675637563,0.5017009195253516,0.5316654422943274,0.5316654422943274,0.5616299650633034,0.5915944878322793,0,0,2,Europe,Arid
climate_zone_within_continent,signed_balance,spd_events_minus_spd,as_coded,2,2,0.43310055561608013,0.46609109069325133,0.4990816257704225,0.4990816257704225,0.5320721608475937,0.5650626959247649,0,0,2,Europe,Arid
climate_zone_within_continent,signed_balance,spd_events_minus_spd,observed_events_only,2,2,0.43310055561608013,0.46609109069325133,0.4990816257704225,0.4990816257704225,0.5320721608475937,0.5650626959247649,0,0,2,Europe,Arid
climate_zone_within_continent,signed_difference,events_minus_spd,as_coded,2,2,0.16440000000000002,0.21997500000000003,0.27555,0.27555,0.331125,0.3867,0,0,2,Europe,Arid
climate_zone_within_continent,signed_difference,events_minus_spd,observed_events_only,2,2,0.16440000000000002,0.21997500000000003,0.27555,0.27555,0.331125,0.3867,0,0,2,Europe,Arid
climate_zone_within_continent,signed_difference,spd_events_minus_spd,as_coded,2,2,0.1447,0.200175,0.25565000000000004,0.25565000000000004,0.31112500000000004,0.36660000000000004,0,0,2,Europe,Arid
climate_zone_within_continent,signed_difference,spd_events_minus_spd,observed_events_only,2,2,0.1447,0.200175,0.25565000000000004,0.25565000000000004,0.31112500000000004,0.36660000000000004,0,0,2,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,2,2,-0.09348134693974175,-0.07334697764164877,-0.05321260834355579,-0.05321260834355579,-0.03307823904546281,-0.01294386974736983,2,0,0,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,2,2,-0.09348134693974175,-0.07334697764164877,-0.05321260834355579,-0.05321260834355579,-0.03307823904546281,-0.01294386974736983,2,0,0,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,2,2,-0.08661841496676992,-0.05168535888678377,-0.016752302806797625,-0.016752302806797625,0.01818075327318852,0.05311380935317467,1,0,1,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,2,2,-0.08661841496676992,-0.05168535888678377,-0.016752302806797625,-0.016752302806797625,0.01818075327318852,0.05311380935317467,1,0,1,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,2,2,0.05356805676598286,0.08350894533985231,0.11344983391372176,0.11344983391372176,0.14339072248759122,0.17333161106146067,0,0,2,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,2,2,0.05356805676598286,0.08350894533985231,0.11344983391372176,0.11344983391372176,0.14339072248759122,0.17333161106146067,0,0,2,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,2,2,0.041647631944427554,0.08450201004451297,0.12735638814459838,0.12735638814459838,0.1702107662446838,0.2130651443447692,0,0,2,Europe,Arid
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,2,2,0.041647631944427554,0.08450201004451297,0.12735638814459838,0.12735638814459838,0.1702107662446838,0.2130651443447692,0,0,2,Europe,Arid
climate_zone_within_continent,zero_balance,events_minus_spd,as_coded,2,2,0.8900059366735393,0.9690232094780931,1.0480404822826466,1.0480404822826466,1.1270577550872003,1.206075027891754,0,0,2,Europe,Arid
climate_zone_within_continent,zero_balance,events_minus_spd,observed_events_only,2,2,0.8900059366735393,0.9690232094780931,1.0480404822826466,1.0480404822826466,1.1270577550872003,1.206075027891754,0,0,2,Europe,Arid
climate_zone_within_continent,zero_balance,spd_events_minus_spd,as_coded,2,2,0.8312629191898989,0.9151595962249551,0.9990562732600115,0.9990562732600115,1.0829529502950677,1.1668496273301239,0,0,2,Europe,Arid
climate_zone_within_continent,zero_balance,spd_events_minus_spd,observed_events_only,2,2,0.8312629191898989,0.9151595962249551,0.9990562732600115,0.9990562732600115,1.0829529502950677,1.1668496273301239,0,0,2,Europe,Arid
climate_zone_within_continent,climate,events_minus_spd,as_coded,15,15,-0.10190000000000002,-0.041550000000000004,-0.016200000000000006,-0.022066666666666672,2.500000000000002e-4,0.031399999999999983,11,0,4,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,climate,events_minus_spd,observed_events_only,15,15,-0.10190000000000002,-0.041550000000000004,-0.016200000000000006,-0.022066666666666672,2.500000000000002e-4,0.031399999999999983,11,0,4,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,climate,spd_events_minus_spd,as_coded,15,15,-0.09140000000000001,-0.05074999999999999,-0.024300000000000002,-0.030899999999999997,-0.013250000000000012,0.04260000000000003,14,0,1,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,climate,spd_events_minus_spd,observed_events_only,15,15,-0.09140000000000001,-0.05074999999999999,-0.024300000000000002,-0.030899999999999997,-0.013250000000000012,0.04260000000000003,14,0,1,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,human,events_minus_spd,as_coded,15,15,-0.0909,-0.022449999999999987,0.0165,0.019673333333333338,0.05475,0.20600000000000002,6,0,9,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,human,events_minus_spd,observed_events_only,15,15,-0.0909,-0.022449999999999987,0.0165,0.019673333333333338,0.05475,0.20600000000000002,6,0,9,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,human,spd_events_minus_spd,as_coded,15,15,0.005999999999999999,0.0323,0.048100000000000004,0.06358,0.08365,0.1605,0,0,15,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,human,spd_events_minus_spd,observed_events_only,15,15,0.005999999999999999,0.0323,0.048100000000000004,0.06358,0.08365,0.1605,0,0,15,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_balance,events_minus_spd,as_coded,15,15,-0.23682231655548816,-0.05010035524957422,0.12282618502011883,0.07596428051591239,0.1629916160877846,0.5403885655597399,4,0,11,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_balance,events_minus_spd,observed_events_only,15,15,-0.23682231655548816,-0.05010035524957422,0.12282618502011883,0.07596428051591239,0.1629916160877846,0.5403885655597399,4,0,11,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_balance,spd_events_minus_spd,as_coded,15,15,0.033586668918538565,0.12360759027283016,0.19529184737711688,0.19213162163915345,0.2245860297915724,0.4069853110466455,0,0,15,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_balance,spd_events_minus_spd,observed_events_only,15,15,0.033586668918538565,0.12360759027283016,0.19529184737711688,0.19213162163915345,0.2245860297915724,0.4069853110466455,0,0,15,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_difference,events_minus_spd,as_coded,15,15,-0.11629999999999999,-0.0037500000000000033,0.05739999999999999,0.041740000000000006,0.08380000000000001,0.17460000000000003,4,0,11,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_difference,events_minus_spd,observed_events_only,15,15,-0.11629999999999999,-0.0037500000000000033,0.05739999999999999,0.041740000000000006,0.08380000000000001,0.17460000000000003,4,0,11,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_difference,spd_events_minus_spd,as_coded,15,15,0.023300000000000015,0.06160000000000001,0.1026,0.09448,0.11995000000000001,0.21359999999999998,0,0,15,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,signed_difference,spd_events_minus_spd,observed_events_only,15,15,0.023300000000000015,0.06160000000000001,0.1026,0.09448,0.11995000000000001,0.21359999999999998,0,0,15,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,as_coded,15,15,-0.1574977903825654,-0.0813026565118497,-0.05129306082387752,-0.04361487640877617,-0.004248307063495327,0.07205412618863671,11,0,4,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_climate,events_minus_spd,observed_events_only,15,15,-0.1574977903825654,-0.0813026565118497,-0.05129306082387752,-0.04361487640877617,-0.004248307063495327,0.07205412618863671,11,0,4,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,as_coded,15,15,-0.17863736965688803,-0.07631719806877207,-0.0359257243738792,-0.04756840186531655,-0.02024598557260998,0.09215227657510505,13,0,2,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_climate,spd_events_minus_spd,observed_events_only,15,15,-0.17863736965688803,-0.07631719806877207,-0.0359257243738792,-0.04756840186531655,-0.02024598557260998,0.09215227657510505,13,0,2,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,as_coded,15,15,-0.20273617315625658,-0.04860590902626788,-0.012941180430461996,-0.019951338351685114,0.021230209194930905,0.17159352570781738,10,0,5,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_human,events_minus_spd,observed_events_only,15,15,-0.20273617315625658,-0.04860590902626788,-0.012941180430461996,-0.019951338351685114,0.021230209194930905,0.17159352570781738,10,0,5,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,as_coded,15,15,-0.07729754185109916,-0.026136813862980002,5.307098012792277e-4,0.003510910404166475,0.03225698570944624,0.13177485581296278,7,0,8,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,unique_adjusted_r2_pure_human,spd_events_minus_spd,observed_events_only,15,15,-0.07729754185109916,-0.026136813862980002,5.307098012792277e-4,0.003510910404166475,0.03225698570944624,0.13177485581296278,7,0,8,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,zero_balance,events_minus_spd,as_coded,15,15,-0.537910447761194,-0.10710289695840011,0.18063466232709524,0.12418778394445991,0.3223854320515616,0.763797942001871,4,0,11,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,zero_balance,events_minus_spd,observed_events_only,15,15,-0.537910447761194,-0.10710289695840011,0.18063466232709524,0.12418778394445991,0.3223854320515616,0.763797942001871,4,0,11,Europe,Cold_Without_dry_season_Cold_Summer
climate_zone_within_continent,zero_balance,spd_events_minus_spd,as_coded,15,15,0,0.21627384956516454,0.29338702555095497,0.3381455026788114,0.4267340062868022,0.808138037599794,0,1,14,Europe,Cold_Without_dry_season_Cold_Summer
