region,age,value,distance_km,n_records,n_connected,n_edges,moran_i,expected_i,p_greater,positive_autocorrelation,permutations,status
Latin America,2500,residual_axis_1,250,90,76,175,0.04197160713136895,-0.011235955056179775,0.222,FALSE,999,estimated
Latin America,2500,residual_axis_2,250,90,76,175,0.07114601688127087,-0.011235955056179775,0.122,FALSE,999,estimated
Latin America,2500,residual_axis_3,250,90,76,175,0.18615258765007675,-0.011235955056179775,0.015,TRUE,999,estimated
Latin America,2500,residual_axis_1,500,90,84,355,0.049584155890533894,-0.011235955056179775,0.108,FALSE,999,estimated
Latin America,2500,residual_axis_2,500,90,84,355,0.06316744418702472,-0.011235955056179775,0.073,FALSE,999,estimated
Latin America,2500,residual_axis_3,500,90,84,355,0.06255240627307011,-0.011235955056179775,0.068,FALSE,999,estimated
Latin America,3000,residual_axis_1,250,89,76,166,-0.0396535776990072,-0.011363636363636364,0.631,FALSE,999,estimated
Latin America,3000,residual_axis_2,250,89,76,166,0.3149659255170024,-0.011363636363636364,0.001,TRUE,999,estimated
Latin America,3000,residual_axis_3,250,89,76,166,0.05432476361529066,-0.011363636363636364,0.171,FALSE,999,estimated
Latin America,3000,residual_axis_1,500,89,84,333,-0.03121164454738401,-0.011363636363636364,0.626,FALSE,999,estimated
Latin America,3000,residual_axis_2,500,89,84,333,0.07020073127720351,-0.011363636363636364,0.071,FALSE,999,estimated
Latin America,3000,residual_axis_3,500,89,84,333,0.011892470042195666,-0.011363636363636364,0.274,FALSE,999,estimated
Latin America,4000,residual_axis_1,250,85,72,164,-0.10142157708273954,-0.011904761904761904,0.915,FALSE,999,estimated
Latin America,4000,residual_axis_2,250,85,72,164,0.10531930614424553,-0.011904761904761904,0.067,FALSE,999,estimated
Latin America,4000,residual_axis_3,250,85,72,164,-0.10449554378432022,-0.011904761904761904,0.92,FALSE,999,estimated
Latin America,4000,residual_axis_1,500,85,79,323,-0.03286658558507512,-0.011904761904761904,0.626,FALSE,999,estimated
Latin America,4000,residual_axis_2,500,85,79,323,0.03818216316646769,-0.011904761904761904,0.146,FALSE,999,estimated
Latin America,4000,residual_axis_3,500,85,79,323,-0.03876117162912268,-0.011904761904761904,0.694,FALSE,999,estimated
Latin America,4500,residual_axis_1,250,87,73,166,-0.01793899107089649,-0.011627906976744186,0.515,FALSE,999,estimated
Latin America,4500,residual_axis_2,250,87,73,166,0.12118390970513171,-0.011627906976744186,0.054,FALSE,999,estimated
Latin America,4500,residual_axis_3,250,87,73,166,-0.11069327987020461,-0.011627906976744186,0.936,FALSE,999,estimated
Latin America,4500,residual_axis_1,500,87,81,343,0.026067932868671203,-0.011627906976744186,0.177,FALSE,999,estimated
Latin America,4500,residual_axis_2,500,87,81,343,0.017318448126081635,-0.011627906976744186,0.256,FALSE,999,estimated
Latin America,4500,residual_axis_3,500,87,81,343,-0.034944732211875953,-0.011627906976744186,0.633,FALSE,999,estimated
Latin America,5000,residual_axis_1,250,87,74,158,-0.11831666562638628,-0.011627906976744186,0.948,FALSE,999,estimated
Latin America,5000,residual_axis_2,250,87,74,158,0.12393370866101747,-0.011627906976744186,0.048,TRUE,999,estimated
Latin America,5000,residual_axis_3,250,87,74,158,-0.028282207335204375,-0.011627906976744186,0.572,FALSE,999,estimated
Latin America,5000,residual_axis_1,500,87,81,319,-0.04438117328111586,-0.011627906976744186,0.732,FALSE,999,estimated
Latin America,5000,residual_axis_2,500,87,81,319,-9.226950921660495e-4,-0.011627906976744186,0.38,FALSE,999,estimated
Latin America,5000,residual_axis_3,500,87,81,319,-0.011406306464262668,-0.011627906976744186,0.471,FALSE,999,estimated
Latin America,5500,residual_axis_1,250,89,75,181,0.15262792035054004,-0.011363636363636364,0.02,TRUE,999,estimated
Latin America,5500,residual_axis_2,250,89,75,181,0.19820348204294844,-0.011363636363636364,0.009,TRUE,999,estimated
Latin America,5500,residual_axis_3,250,89,75,181,0.04390716641032532,-0.011363636363636364,0.229,FALSE,999,estimated
Latin America,5500,residual_axis_1,500,89,83,366,0.16606440852029544,-0.011363636363636364,0.004,TRUE,999,estimated
Latin America,5500,residual_axis_2,500,89,83,366,0.030261045137276683,-0.011363636363636364,0.191,FALSE,999,estimated
Latin America,5500,residual_axis_3,500,89,83,366,0.08211985476390762,-0.011363636363636364,0.044,TRUE,999,estimated
Latin America,6000,residual_axis_1,250,85,71,162,0.08971283953667765,-0.011904761904761904,0.097,FALSE,999,estimated
Latin America,6000,residual_axis_2,250,85,71,162,0.0837275657502536,-0.011904761904761904,0.089,FALSE,999,estimated
Latin America,6000,residual_axis_3,250,85,71,162,-0.06837899315986333,-0.011904761904761904,0.755,FALSE,999,estimated
Latin America,6000,residual_axis_1,500,85,79,341,0.10726903681903827,-0.011904761904761904,0.026,TRUE,999,estimated
Latin America,6000,residual_axis_2,500,85,79,341,0.029094965493325266,-0.011904761904761904,0.209,FALSE,999,estimated
Latin America,6000,residual_axis_3,500,85,79,341,-0.0192466798439093,-0.011904761904761904,0.485,FALSE,999,estimated
Latin America,6500,residual_axis_1,250,82,67,145,0.05134363987001323,-0.012345679012345678,0.181,FALSE,999,estimated
Latin America,6500,residual_axis_2,250,82,67,145,0.03454788936738284,-0.012345679012345678,0.25,FALSE,999,estimated
Latin America,6500,residual_axis_3,250,82,67,145,-0.10092155914066017,-0.012345679012345678,0.885,FALSE,999,estimated
Latin America,6500,residual_axis_1,500,82,76,300,0.09053847525965796,-0.012345679012345678,0.042,TRUE,999,estimated
Latin America,6500,residual_axis_2,500,82,76,300,0.0408660622406174,-0.012345679012345678,0.138,FALSE,999,estimated
Latin America,6500,residual_axis_3,500,82,76,300,-0.02604260516907667,-0.012345679012345678,0.546,FALSE,999,estimated
Latin America,7000,residual_axis_1,250,81,66,137,0.009297952115773936,-0.0125,0.344,FALSE,999,estimated
Latin America,7000,residual_axis_2,250,81,66,137,0.20676883576154495,-0.0125,0.017,TRUE,999,estimated
Latin America,7000,residual_axis_3,250,81,66,137,-0.1756931806631534,-0.0125,0.992,FALSE,999,estimated
Latin America,7000,residual_axis_1,500,81,75,288,0.039138760459735855,-0.0125,0.138,FALSE,999,estimated
Latin America,7000,residual_axis_2,500,81,75,288,0.08938570082041075,-0.0125,0.038,TRUE,999,estimated
Latin America,7000,residual_axis_3,500,81,75,288,-0.0700906019372983,-0.0125,0.859,FALSE,999,estimated
Latin America,7500,residual_axis_1,250,84,70,153,-0.10061243698224015,-0.012048192771084338,0.892,FALSE,999,estimated
Latin America,7500,residual_axis_2,250,84,70,153,0.16291440111048747,-0.012048192771084338,0.026,TRUE,999,estimated
Latin America,7500,residual_axis_3,250,84,70,153,-0.10735695434540574,-0.012048192771084338,0.909,FALSE,999,estimated
Latin America,7500,residual_axis_1,500,84,79,312,-0.0521178236405833,-0.012048192771084338,0.777,FALSE,999,estimated
Latin America,7500,residual_axis_2,500,84,79,312,0.08808825960876253,-0.012048192771084338,0.035,TRUE,999,estimated
Latin America,7500,residual_axis_3,500,84,79,312,-0.06665397026292134,-0.012048192771084338,0.858,FALSE,999,estimated
Latin America,8000,residual_axis_1,250,77,66,145,0.02518018698135128,-0.013157894736842105,0.282,FALSE,999,estimated
