analysis,region,age,selection_status,n_complete,n_candidates,global_p_value,full_adjusted_r_squared,selected_terms
temporal_events,Oceania,500,no_terms_selected,33,4,0.003,0.18217374324066482,
temporal_events,Oceania,1000,selected,44,5,0.002,0.1726722929420016,dbmem_001
temporal_events,Oceania,1500,selected,45,5,0.011,0.086210414939766,dbmem_003
temporal_events,Oceania,2000,no_terms_selected,46,5,0.02,0.0741924453153755,
temporal_events,Oceania,2500,no_terms_selected,45,5,0.012,0.08548473393093681,
temporal_events,Oceania,3000,no_spatial_signal,47,5,0.053,0.06347848795431266,
temporal_events,Oceania,3500,selected,46,5,0.007,0.09666264649172729,dbmem_003
temporal_events,Oceania,4000,no_terms_selected,47,5,0.033,0.07201707269400937,
temporal_events,Oceania,4500,missing_predictor_group,47,0,NA,NA,
temporal_events,Oceania,5000,missing_predictor_group,47,0,NA,NA,
temporal_events,Oceania,5500,missing_predictor_group,46,0,NA,NA,
temporal_events,Oceania,6000,missing_predictor_group,45,0,NA,NA,
temporal_events,Oceania,7000,missing_predictor_group,42,0,NA,NA,
temporal_events,Oceania,7500,missing_predictor_group,42,0,NA,NA,
temporal_events,Asia,1500,no_terms_selected,171,41,0.001,0.1118180727644722,
temporal_events,Asia,2000,no_terms_selected,174,42,0.001,0.12028397065317908,
temporal_events,Asia,2500,selected,171,40,0.001,0.13072044848139297,dbmem_001
temporal_events,Asia,3000,no_terms_selected,174,41,0.001,0.11889413403854332,
temporal_events,Asia,3500,no_terms_selected,172,40,0.006,0.09017942414259306,
temporal_events,Asia,4000,no_terms_selected,174,41,0.002,0.10232365648815789,
temporal_events,Asia,4500,selected,171,40,0.001,0.12621435495299993,dbmem_001
temporal_events,Asia,5000,selected,174,40,0.002,0.09633765719536314,dbmem_001
temporal_events,Asia,5500,selected,173,41,0.001,0.1238697791829454,dbmem_001
temporal_events,Asia,6000,selected,175,41,0.006,0.07965717339775313,dbmem_001
temporal_events,Asia,6500,no_spatial_signal,163,39,0.182,0.025955529857810578,
temporal_events,Asia,7000,no_spatial_signal,160,38,0.111,0.03574996150226184,
temporal_events,Asia,7500,no_spatial_signal,153,36,0.111,0.03901054053480013,
temporal_events,Asia,8000,selected,150,37,0.005,0.08976956152769155,dbmem_028
temporal_events,Asia,8500,selected,138,32,0.013,0.07760623202842976,dbmem_010
temporal_events,Oceania,6500,missing_predictor_group,43,0,NA,NA,
temporal_events,Oceania,8000,missing_predictor_group,40,0,NA,NA,
temporal_events,Oceania,8500,missing_predictor_group,39,0,NA,NA,
temporal_events,Asia,1000,selected,156,35,0.001,0.1247380705295057,dbmem_001
temporal_events,Asia,500,no_terms_selected,110,25,0.015,0.08688583053723042,
