dataset_id,analysis,predictor,Unique,Average.share,Individual,I.perc(%),model_profile,total_adjusted_r_squared
46490,spatial_spd,human,0.1041,-0.048999999999999995,0.0551,13.21,human_climate,0.417
46490,spatial_spd,climate,0.4106,-0.049000000000000044,0.3616,86.71,human_climate,0.417
46490,spatial_spd,human,0.03,0.008800000000000002,0.0388,10.84,human_climate_time,0.358
46490,spatial_spd,climate,0.2569,0.04859999999999998,0.3055,85.34,human_climate_time,0.358
46490,spatial_spd,time,-0.0583,0.07239999999999999,0.0141,3.94,human_climate_time,0.358
210,spatial_spd,human,0.0397,0.1092,0.1489,27.37,human_climate,0.544
210,spatial_spd,climate,0.2855,0.10920000000000002,0.3947,72.56,human_climate,0.544
210,spatial_spd,human,0.0456,0.0696,0.1152,19.43,human_climate_time,0.593
210,spatial_spd,climate,0.0901,0.17019999999999996,0.2603,43.9,human_climate_time,0.593
210,spatial_spd,time,0.0497,0.1681,0.2178,36.73,human_climate_time,0.593
4136,spatial_spd,human,0.0167,-0.0058,0.0109,4.52,human_climate,0.241
4136,spatial_spd,climate,0.2359,-0.0058,0.2301,95.48,human_climate,0.241
4136,spatial_spd,human,0.0959,-0.0521,0.0438,8.73,human_climate_time,0.502
4136,spatial_spd,climate,0.1218,0.0445,0.1663,33.13,human_climate_time,0.502
4136,spatial_spd,time,0.2614,0.030999999999999972,0.2924,58.25,human_climate_time,0.502
45192,spatial_spd,human,0.0152,-0.0158,-6e-4,-0.1,human_climate,0.591
45192,spatial_spd,climate,0.6073,-0.015799999999999925,0.5915,100.08,human_climate,0.591
45192,spatial_spd,human,0.0366,-0.0271,0.0095,1.26,human_climate_time,0.755
45192,spatial_spd,climate,0.1953,0.18960000000000002,0.3849,50.98,human_climate_time,0.755
45192,spatial_spd,time,0.1643,0.1965,0.3608,47.79,human_climate_time,0.755
15232,spatial_spd,human,0.0116,0.0178,0.0294,22.11,human_climate,0.133
15232,spatial_spd,climate,0.0854,0.017799999999999996,0.1032,77.59,human_climate,0.133
15232,spatial_spd,human,0.0744,-0.025399999999999992,0.049,11.48,human_climate_time,0.427
15232,spatial_spd,climate,0.1063,-0.004400000000000001,0.1019,23.86,human_climate_time,0.427
15232,spatial_spd,time,0.2942,-0.018400000000000027,0.2758,64.59,human_climate_time,0.427
41467,spatial_spd,human,0.2012,-0.033899999999999986,0.1673,34.71,human_climate,0.482
41467,spatial_spd,climate,0.3482,-0.033899999999999986,0.3143,65.21,human_climate,0.482
41467,spatial_spd,human,0.0237,0.0909,0.1146,18.45,human_climate_time,0.621
41467,spatial_spd,climate,0.1102,0.1211,0.2313,37.25,human_climate_time,0.621
41467,spatial_spd,time,0.139,0.1357,0.2747,44.24,human_climate_time,0.621
3938,spatial_spd,human,-0.0347,0.0125,-0.0222,-12.07,human_climate,0.184
3938,spatial_spd,climate,0.1942,0.012499999999999983,0.2067,112.34,human_climate,0.184
3938,spatial_spd,human,-0.0177,0.0089,-0.0088,-1.44,human_climate_time,0.609
3938,spatial_spd,climate,-0.0273,0.1282,0.1009,16.57,human_climate_time,0.609
3938,spatial_spd,time,0.4244,0.09240000000000004,0.5168,84.86,human_climate_time,0.609
2619,spatial_spd,human,0.0517,0.07119999999999999,0.1229,62.07,human_climate,0.198
2619,spatial_spd,climate,0.0035,0.0712,0.0747,37.73,human_climate,0.198
2619,spatial_spd,human,0.1926,-0.050100000000000006,0.1425,32.53,human_climate_time,0.438
2619,spatial_spd,climate,0.0848,-0.0203,0.0645,14.73,human_climate_time,0.438
2619,spatial_spd,time,0.2406,-0.00940000000000002,0.2312,52.79,human_climate_time,0.438
22988,spatial_spd,human,-0.0136,0.0352,0.0216,6.19,human_climate,0.349
22988,spatial_spd,climate,0.2924,0.0353,0.3277,93.9,human_climate,0.349
22988,spatial_spd,human,0.0712,-0.0199,0.0513,8.97,human_climate_time,0.572
22988,spatial_spd,climate,0.1374,0.1,0.2374,41.5,human_climate_time,0.572
22988,spatial_spd,time,0.2229,0.06059999999999999,0.2835,49.56,human_climate_time,0.572
46803,spatial_spd,human,0.0616,0.13169999999999998,0.1933,36.47,human_climate,0.53
46803,spatial_spd,climate,0.2051,0.13169999999999998,0.3368,63.55,human_climate,0.53
46803,spatial_spd,human,-0.0276,0.14429999999999998,0.1167,18.55,human_climate_time,0.629
46803,spatial_spd,climate,0.0498,0.1773,0.2271,36.1,human_climate_time,0.629
46803,spatial_spd,time,0.0987,0.18629999999999997,0.285,45.31,human_climate_time,0.629
24195,spatial_spd,human,-0.0149,-0.004299999999999998,-0.0192,-5.96,human_climate,0.322
24195,spatial_spd,climate,0.3456,-0.004400000000000015,0.3412,105.96,human_climate,0.322
24195,spatial_spd,human,0.0133,-0.018799999999999997,-0.0055,-1.28,human_climate_time,0.43
24195,spatial_spd,climate,0.0355,0.1503,0.1858,43.21,human_climate_time,0.43
24195,spatial_spd,time,0.1079,0.1417,0.2496,58.05,human_climate_time,0.43
306,spatial_spd,human,0.0151,-0.007500000000000001,0.0076,1.19,human_climate,0.638
306,spatial_spd,climate,0.6381,-0.007600000000000051,0.6305,98.82,human_climate,0.638
306,spatial_spd,human,0.0303,-0.016,0.0143,2,human_climate_time,0.716
306,spatial_spd,climate,0.1333,0.24400000000000002,0.3773,52.7,human_climate_time,0.716
306,spatial_spd,time,0.0783,0.2465,0.3248,45.36,human_climate_time,0.716
847,spatial_spd,human,0.033,0.0187,0.0517,84.75,human_climate,0.061
847,spatial_spd,climate,-0.009,0.0187,0.0097,15.9,human_climate,0.061
847,spatial_spd,human,0.0495,0.005499999999999998,0.055,72.37,human_climate_time,0.076
847,spatial_spd,climate,-0.0469,0.03269999999999999,-0.0142,-18.68,human_climate_time,0.076
847,spatial_spd,time,0.0148,0.0206,0.0354,46.58,human_climate_time,0.076
45322,spatial_spd,human,-0.036,0.047,0.011,4.95,human_climate,0.222
45322,spatial_spd,climate,0.1635,0.046999999999999986,0.2105,94.82,human_climate,0.222
45322,spatial_spd,human,0.0581,-0.026799999999999997,0.0313,6.7,human_climate_time,0.467
45322,spatial_spd,climate,0.1731,0.015399999999999997,0.1885,40.36,human_climate_time,0.467
45322,spatial_spd,time,0.2456,0.0015999999999999903,0.2472,52.93,human_climate_time,0.467
18108,spatial_spd,human,0.1463,-0.07160000000000001,0.0747,36.44,human_climate,0.205
18108,spatial_spd,climate,0.2021,-0.0716,0.1305,63.66,human_climate,0.205
18108,spatial_spd,human,-0.0191,0.041800000000000004,0.0227,6.9,human_climate_time,0.329
18108,spatial_spd,climate,0.1133,0.003500000000000003,0.1168,35.5,human_climate_time,0.329
18108,spatial_spd,time,0.1238,0.06570000000000001,0.1895,57.6,human_climate_time,0.329
42745,spatial_spd,human,0.0032,-0.0047,-0.0015,-1.32,human_climate,0.114
42745,spatial_spd,climate,0.12,-0.004699999999999996,0.1153,101.14,human_climate,0.114
42745,spatial_spd,human,-0.0464,0.0255,-0.0209,-25.8,human_climate_time,0.081
42745,spatial_spd,climate,0.0392,0.0411,0.0803,99.14,human_climate_time,0.081
42745,spatial_spd,time,-0.0329,0.0544,0.0215,26.54,human_climate_time,0.081
17689,spatial_spd,human,-0.0216,0.1408,0.1192,28.25,human_climate,0.422
17689,spatial_spd,climate,0.1625,0.1408,0.3033,71.87,human_climate,0.422
17689,spatial_spd,human,-0.0099,0.0896,0.0797,21.14,human_climate_time,0.377
17689,spatial_spd,climate,0.027,0.1632,0.1902,50.45,human_climate_time,0.377
17689,spatial_spd,time,-0.0451,0.1526,0.1075,28.51,human_climate_time,0.377
340,spatial_spd,human,0.0906,-2.999999999999947e-4,0.0903,23.15,human_climate,0.39
340,spatial_spd,climate,0.2994,-1.9999999999997797e-4,0.2992,76.72,human_climate,0.39
340,spatial_spd,human,-0.0253,0.0717,0.0464,11.81,human_climate_time,0.393
340,spatial_spd,climate,0.0235,0.1517,0.1752,44.58,human_climate_time,0.393
340,spatial_spd,time,0.0039,0.16790000000000002,0.1718,43.72,human_climate_time,0.393
40634,spatial_spd,human,-0.0429,0.0555,0.0126,6,human_climate,0.21
40634,spatial_spd,climate,0.1417,0.055499999999999994,0.1972,93.9,human_climate,0.21
40634,spatial_spd,human,-0.0599,0.0601,2e-4,0.05,human_climate_time,0.364
40634,spatial_spd,climate,0.0904,0.0773,0.1677,46.07,human_climate_time,0.364
40634,spatial_spd,time,0.1541,0.04190000000000002,0.196,53.85,human_climate_time,0.364
15970,spatial_spd,human,-0.033,0.06509999999999999,0.0321,6.83,human_climate,0.47
15970,spatial_spd,climate,0.3729,0.06509999999999999,0.438,93.19,human_climate,0.47
15970,spatial_spd,human,0.0045,0.0313,0.0358,7.05,human_climate_time,0.508
15970,spatial_spd,climate,0.1233,0.17479999999999996,0.2981,58.68,human_climate_time,0.508
15970,spatial_spd,time,0.0381,0.13620000000000002,0.1743,34.31,human_climate_time,0.508
17391,spatial_spd,human,-0.0697,0.0411,-0.0286,-14.16,human_climate,0.202
17391,spatial_spd,climate,0.1897,0.0411,0.2308,114.26,human_climate,0.202
17391,spatial_spd,human,-0.0631,0.030200000000000005,-0.0329,-9.43,human_climate_time,0.349
17391,spatial_spd,climate,0.0976,0.07959999999999999,0.1772,50.77,human_climate_time,0.349
17391,spatial_spd,time,0.1469,0.05779999999999999,0.2047,58.65,human_climate_time,0.349
4539,spatial_spd,human,0.016,0.019200000000000002,0.0352,14.31,human_climate,0.246
4539,spatial_spd,climate,0.1914,0.019200000000000023,0.2106,85.61,human_climate,0.246
4539,spatial_spd,human,0.0308,0.0034000000000000002,0.0342,6.98,human_climate_time,0.49
4539,spatial_spd,climate,0.265,-0.026000000000000023,0.239,48.78,human_climate_time,0.49
4539,spatial_spd,time,0.2444,-0.027400000000000008,0.217,44.29,human_climate_time,0.49
25285,spatial_spd,human,0.0389,0.014700000000000005,0.0536,12.7,human_climate,0.422
25285,spatial_spd,climate,0.3541,0.01469999999999999,0.3688,87.39,human_climate,0.422
25285,spatial_spd,human,-0.0465,0.07780000000000001,0.0313,7.11,human_climate_time,0.44
25285,spatial_spd,climate,0.0847,0.1698,0.2545,57.84,human_climate_time,0.44
25285,spatial_spd,time,0.0176,0.1367,0.1543,35.07,human_climate_time,0.44
20293,spatial_spd,human,0.0418,0.0114,0.0532,10.92,human_climate,0.487
20293,spatial_spd,climate,0.4223,0.011399999999999966,0.4337,89.06,human_climate,0.487
20293,spatial_spd,human,0.027,0.0091,0.0361,7.23,human_climate_time,0.499
20293,spatial_spd,climate,0.2533,0.0862,0.3395,68.04,human_climate_time,0.499
20293,spatial_spd,time,0.0118,0.1113,0.1231,24.67,human_climate_time,0.499
4251,spatial_spd,human,0.1156,0.17650000000000005,0.2921,52.54,human_climate,0.556
4251,spatial_spd,climate,0.0879,0.17650000000000002,0.2644,47.55,human_climate,0.556
4251,spatial_spd,human,-0.0369,0.1987,0.1618,26.44,human_climate_time,0.612
4251,spatial_spd,climate,-0.0335,0.1832,0.1497,24.46,human_climate_time,0.612
4251,spatial_spd,time,0.0558,0.245,0.3008,49.15,human_climate_time,0.612
2580,spatial_spd,human,-0.0347,0.027100000000000003,-0.0076,42.22,human_climate,-0.018
2580,spatial_spd,climate,-0.0371,0.027200000000000002,-0.0099,55,human_climate,-0.018
2580,spatial_spd,human,0.0909,-0.058899999999999994,0.032,6.96,human_climate_time,0.46
2580,spatial_spd,climate,0.1459,-0.08760000000000001,0.0583,12.67,human_climate_time,0.46
2580,spatial_spd,time,0.4771,-0.10780000000000001,0.3693,80.28,human_climate_time,0.46
