analysis,region,age,n_models,climate,human,importance_balance
temporal_spd,North America,5500,1,0.8841463414634146,0.11585365853658539,-0.7682926829268293
temporal_spd,North America,6000,1,0.881628787878788,0.11837121212121213,-0.7632575757575758
temporal_spd,North America,6500,1,0.9111969111969112,0.0888030888030888,-0.8223938223938223
temporal_spd,North America,7000,1,0.8857412653446648,0.11425873465533523,-0.7714825306893296
temporal_spd,North America,7500,1,0.8859060402684563,0.11409395973154363,-0.7718120805369126
temporal_spd,North America,8000,1,0.9471577261809448,0.05284227381905524,-0.8943154523618896
temporal_spd,North America,8500,1,0.9599666388657214,0.040033361134278564,-0.9199332777314428
temporal_spd,Oceania,2000,1,0.2634920634920635,0.7365079365079364,0.47301587301587295
temporal_spd,Oceania,2500,1,0.7799607072691552,0.2200392927308448,-0.5599214145383105
temporal_spd,Oceania,3000,1,0.8018252933507171,0.1981747066492829,-0.6036505867014341
temporal_spd,Oceania,3500,1,0.8479349186483105,0.1520650813516896,-0.6958698372966209
temporal_spd,Oceania,4000,1,0.9045368620037807,0.09546313799621929,-0.8090737240075614
temporal_spd,Oceania,4500,1,0.9611021069692058,0.03889789303079416,-0.9222042139384117
temporal_spd,Oceania,5000,1,0.83399209486166,0.16600790513833993,-0.6679841897233201
temporal_spd,Oceania,5500,1,0.9171511627906977,0.08284883720930233,-0.8343023255813954
temporal_spd,Oceania,6000,1,1,0,-1
temporal_spd,Oceania,6500,1,1,0,-1
temporal_spd,Oceania,7500,1,1,0,-1
temporal_spd,Oceania,8000,1,1,0,-1
temporal_spd,Oceania,8500,1,0.9971611071682043,0.0028388928317955994,-0.9943222143364087
