analysis,region,age,predictor,Unique,Average.share,individual,I.perc(%),model_profile
temporal_spd,Oceania,6500,climate,0.0847,0.001899999999999999,0.0866,117.03,human_climate
temporal_spd,Oceania,8000,human,-0.0015,0.0023,8e-4,1.33,human_climate
temporal_spd,Oceania,8000,climate,0.057,0.0022999999999999965,0.0593,98.83,human_climate
temporal_spd,Oceania,8500,human,4e-4,7.000000000000001e-4,0.0011,1.59,human_climate
temporal_spd,Oceania,8500,climate,0.067,5.999999999999894e-4,0.0676,97.97,human_climate
temporal_spd,Oceania,8500,human,-0.008,0.007,-0.001,-0.93,human_climate_space
temporal_spd,Oceania,8500,climate,0.0393,0.0167,0.056,52.34,human_climate_space
temporal_spd,Oceania,8500,space,0.0381,0.0138,0.0519,48.5,human_climate_space
temporal_events,Europe,500,human,0.0085,0.006,0.0145,17.68,human_climate
temporal_events,Europe,500,climate,0.0609,0.006100000000000001,0.067,81.71,human_climate
temporal_events,Europe,500,human,0.0031,0.0084,0.0115,6.15,human_climate_space
temporal_events,Europe,500,climate,0.06,0.006199999999999997,0.0662,35.4,human_climate_space
temporal_events,Europe,500,space,0.1054,0.0038000000000000117,0.1092,58.4,human_climate_space
temporal_events,Europe,1000,human,0.0125,0.007199999999999998,0.0197,15.89,human_climate
temporal_events,Europe,1000,climate,0.0969,0.007300000000000001,0.1042,84.03,human_climate
temporal_events,Europe,1000,human,0.0078,0.009,0.0168,7.71,human_climate_space
temporal_events,Europe,1000,climate,0.0523,0.028999999999999998,0.0813,37.29,human_climate_space
temporal_events,Europe,1000,space,0.0943,0.025800000000000003,0.1201,55.09,human_climate_space
temporal_events,Europe,1500,human,0.0171,0.005600000000000001,0.0227,19.74,human_climate
temporal_events,Europe,1500,climate,0.0871,0.005600000000000008,0.0927,80.61,human_climate
temporal_events,Europe,1500,human,0.0119,0.006699999999999998,0.0186,8.69,human_climate_space
temporal_events,Europe,1500,climate,0.0396,0.0279,0.0675,31.54,human_climate_space
temporal_events,Europe,1500,space,0.0982,0.029300000000000007,0.1275,59.58,human_climate_space
temporal_events,Europe,2000,human,0.0143,0.005999999999999998,0.0203,18.29,human_climate
temporal_events,Europe,2000,climate,0.0845,0.0059999999999999915,0.0905,81.53,human_climate
temporal_events,Europe,2000,human,0.0106,0.006199999999999999,0.0168,8.94,human_climate_space
temporal_events,Europe,2000,climate,0.0523,0.0204,0.0727,38.67,human_climate_space
temporal_events,Europe,2000,space,0.0772,0.02139999999999999,0.0986,52.45,human_climate_space
temporal_events,Europe,2500,human,0.0067,0.004899999999999999,0.0116,13.65,human_climate
temporal_events,Europe,2500,climate,0.0684,0.004900000000000002,0.0733,86.24,human_climate
temporal_events,Europe,2500,human,0.0028,0.006499999999999999,0.0093,5.41,human_climate_space
temporal_events,Europe,2500,climate,0.0569,0.010299999999999997,0.0672,39.07,human_climate_space
temporal_events,Europe,2500,space,0.0872,0.008499999999999994,0.0957,55.64,human_climate_space
temporal_events,Europe,3000,human,0.008,0.0020999999999999994,0.0101,14.43,human_climate
temporal_events,Europe,3000,climate,0.058,0.001999999999999995,0.06,85.71,human_climate
temporal_events,Europe,3000,human,0.0057,0.0025000000000000005,0.0082,5.54,human_climate_space
temporal_events,Europe,3000,climate,0.0475,0.006600000000000002,0.0541,36.55,human_climate_space
temporal_events,Europe,3000,space,0.0781,0.0076999999999999985,0.0858,57.97,human_climate_space
