radius_km,region,age,status,selection_status,human_climate_only_balance,controlled_human,controlled_climate,controlled_balance,human_climate_only_ranking,controlled_ranking,zero_allocation_human,zero_allocation_climate,zero_allocation_space,unique_adjusted_r2_pure_human,unique_adjusted_r2_pure_climate,unique_adjusted_r2_pure_space,unique_adjusted_r2_shared,unique_adjusted_r2_total_explained,unique_adjusted_r2_unexplained
250,Oceania,2500,no_spatial_terms_selected,no_terms_selected,-0.0501,0.0068,0.0569,-0.0501,climate,climate,0.10675039246467818,0.8932496075353219,0,-0.00381021888255062,0.0463349190189829,0,0.021171401033913684,0.06369610117034596,0.936303898829654
250,Oceania,3000,no_spatial_terms_selected,no_terms_selected,-0.0819,0.0272,0.1091,-0.0819,climate,climate,0.1995597945707997,0.8004402054292002,0,0.01596482071761962,0.09785378264874289,0,0.02248803866932436,0.13630664203568688,0.8636933579643131
250,Oceania,3500,spatial_model_estimated,selected,-0.0935,0.0265,0.1378,-0.11130000000000001,climate,climate,0.15755053507728892,0.8192627824019024,0.02318668252080856,0.027083141550321432,0.1562696445579953,0.026224156709521385,-0.04128376565973657,0.16829317715810155,0.8317068228418985
250,Oceania,4000,no_spatial_terms_selected,no_terms_selected,-0.06760000000000001,0.0072,0.0748,-0.06760000000000001,climate,climate,0.08780487804878048,0.9121951219512195,0,-3.409178935490642e-4,0.06721871207326235,0,0.015158344072918939,0.08203613825263223,0.9179638617473678
250,Oceania,4500,spatial_model_estimated,selected,-0.1112,0.0069,0.125,-0.1181,climate,climate,0.0501453488372093,0.9084302325581395,0.04142441860465117,2.0707218159110585e-4,0.12522403347903277,0.014542904012245783,-0.0024273910403285193,0.13754661863254114,0.8624533813674589
250,Oceania,5000,no_spatial_terms_selected,no_spatial_signal,-0.058499999999999996,0.0032,0.0617,-0.058499999999999996,climate,climate,0.04930662557781202,0.9506933744221879,0,-0.009364982230884111,0.04905701215966374,0,0.025204840298062803,0.06489687022684243,0.9351031297731576
250,Oceania,5500,no_spatial_terms_selected,no_spatial_signal,-0.052700000000000004,0.0058,0.0585,-0.052700000000000004,climate,climate,0.09020217729393468,0.9097978227060655,0,-5.869979176701401e-4,0.05203762037512505,0,0.012846040712248263,0.06429666316970317,0.9357033368302968
250,Oceania,6000,no_spatial_terms_selected,no_spatial_signal,-0.07050000000000001,-0.001,0.0695,-0.07050000000000001,climate,climate,0,1,0,-0.0016167104186460834,0.06888556106719501,0,0.0011367978815050028,0.06840564853005393,0.9315943514699461
250,Oceania,7000,no_spatial_terms_selected,no_terms_selected,-0.0169,-0.0124,0.0045,-0.0169,climate,climate,0,1,0,-0.017374254440800874,-4.625586442041918e-4,0,0.009853536551045261,-0.007983276533959804,1.0079832765339598
250,Oceania,7500,no_spatial_terms_selected,no_terms_selected,-0.0581,-0.0149,0.0432,-0.0581,climate,climate,0,1,0,-0.016861016607486512,0.04121803456624262,0,0.0039301444606776315,0.028287162419433742,0.9717128375805663
