analysis,region,age,fraction,adjusted_r_squared
temporal_events,Europe,5500,shared,4.433997359751807e-4
temporal_events,Europe,5500,total_explained,0.19086849342104073
temporal_events,Europe,5500,unexplained,0.8091315065789593
temporal_events,Europe,6000,pure_human,0.003435752809675674
temporal_events,Europe,6000,pure_climate,0.056521025910983624
temporal_events,Europe,6000,pure_space,0.09453614248304565
temporal_events,Europe,6000,shared,0.022729901688701926
temporal_events,Europe,6000,total_explained,0.17722282289240687
temporal_events,Europe,6000,unexplained,0.8227771771075931
temporal_events,Europe,6500,pure_human,1.237738470618588e-4
temporal_events,Europe,6500,pure_climate,0.03245586897152941
temporal_events,Europe,6500,pure_space,0.10411619779739156
temporal_events,Europe,6500,shared,0.03529382932520353
temporal_events,Europe,6500,total_explained,0.17198966994118636
temporal_events,Europe,6500,unexplained,0.8280103300588136
temporal_events,Europe,7000,pure_human,0.008586519645286006
temporal_events,Europe,7000,pure_climate,0.04941339897395847
temporal_events,Europe,7000,pure_space,0.08836257255079305
temporal_events,Europe,7000,shared,0.025013356734139403
temporal_events,Europe,7000,total_explained,0.17137584790417693
